X1,X2,X3,Year
do,do,vd0,1990
sit,sit,vvi,1990
back,back,rp,1990
down,down,rp,1990
greasy,greasy,jj,1990
leg,leg,nn1,1990
back,back,rp_nn1,1990
want,want,vvi,1990
sit,sit,vvi,1990
down,down,rp,1990
soft,soft,jj,1990
load,load,nn1,1990
felt,feel,vvd,1990
cold,cold,jj_nn1,1990
keep,keep,vvi,1990
three,three,mc,1990
hot,hot,jj,1990
light,light,vvi,1990
orange,orange,nn1_jj,1990
blue,blue,jj,1990
dance,dance,vvi,1990
moment,moment,nn1,1990
red,red,jj_nn1,1990
cool,cool,jj,1990
warm,warm,jj,1990
find,find,vvi,1990
stay,stay,vv0,1990
white,white,jj,1990
sweet,sweet,jj,1990
hide,hide,vv0,1990
aunt,aunt,nnb,1990
belt,belt,nn1,1990
dark,dark,jj_nn1,1990
tight,tight,jj_rr,1990
aunt,aunt,nnb,1990
smelly,smelly,jj,1990
leave,leave,vvi,1990
cold,cold,jj,1990
aunt,aunt,nnb,1990
warm,warm,jj,1990
bath,bath,nn1,1990
hot,hot,jj,1990
back,back,nn1,1990
aunt,aunt,nnb,1990
hold,hold,vvi,1990
foot,foot,nn1,1990
aunt,aunt,nnb,1990
crying,cry,vvg_nn1,1990
aunt,aunt,nnb,1990
honey,honey,nn1,1990
back,back,rp,1990
close,close,rr,1990
fell,fall,vvd,1990
night,night,nnt1,1990
felt,feel,vvn,1990
warm,warm,jj,1990
feel,feel,vvi,1990
clean,clean,jj,1990
say,say,vvi,1990
baby,baby,nn1,1990
do,do,vd0,1990
baby,baby,nn1,1990
do,do,vd0,1990
warm,warm,jj,1990
big,big,jj,1990
deal,deal,nn1,1990
back,back,rp,1990
hurt,hurt,vvd_vvn,1990
shiny,shiny,jj,1990
bright,bright,jj,1990
gold,gold,nn1,1990
clear,clear,jj,1990
blue,blue,jj,1990
big,big,jj,1990
close,close,jj_rr@,1990
big,big,jj,1990
fine,fine,jj,1990
silver,silver,nn1_jj@,1990
down,down,ii@_rp,1990
silent,silent,jj,1990
down,down,rp_ii@,1990
long,long,jj,1990
black,black,jj,1990
under,under,ii,1990
sweet,sweet,jj,1990
big,big,jj,1990
sparkly,sparkly,jj,1990
back,back,nn1_rp,1990
baby,baby,nn1,1990
minute,minute,nnt1,1990
stay,stay,vv0,1990
wait,wait,vv0,1990
want,want,vvi,1990
high,high,jj,1990
quiet,quiet,jj,1990
brown,brown,jj_nn1@,1990
white,white,jj,1990
do,do,vdi,1990
dark,dark,jj_nn1,1990
sit,sit,vvi,1990
long,long,jj_rr,1990
gun,gun,nn1,1990
jump,jump,vvi,1990
little,little,jj,1990
red,red,jj_nn1,1990
scratchy,scratchy,jj_nn1,1990
sound,sound,nn1,1990
cough,cough,vvi,1990
hard,hard,jj_rr,1990
brown,brown,jj,1990
tiny,tiny,jj,1990
stay,stay,vvi,1990
delight,delight,nn1,1990
orange,orange,nn1,1990
icy,icy,jj,1990
green,green,nn1_jj,1990
purple,purple,jj_nn1@,1990
purple,purple,jj,1990
under,under,ii,1990
sound,sound,nn1,1990
chair,chair,nn1,1990
light,light,nn1,1990
tiny,tiny,jj,1990
light,light,nn1,1990
huge,huge,jj,1990
bright,bright,jj,1990
window,window,nn1,1990
loud,loud,jj,1990
window,window,nn1,1990
