X1,X2,X3,Year
say,say,vv0,1990
sound,sound,nn1_vv0@,1990
money,money,nn1,1990
three,three,mc,1990
fact,fact,nn1,1990
past,past,jj,1990
form,form,nn1,1990
tax,tax,nn1,1990
claim,claim,vvi,1990
amount,amount,nn1,1990
money,money,nn1,1990
bank,bank,nn1,1990
large,large,jj,1990
vice,vice,ii_jj_nn1,1990
president,president,nn1,1990
city,city,nn1,1990
exchange,exchange,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1_np1@,1990
bank,bank,nn1,1990
second,second,md,1990
city,city,nn1,1990
exchange,exchange,nn1,1990
addition,addition,ii32,1990
business,business,nn1,1990
second,second,md,1990
equipment,equipment,nn1,1990
trust,trust,nn1_vv0,1990
city,city,nn1,1990
past,past,nn1_jj,1990
gold,gold,nn1_jj@,1990
economy,economy,nn1,1990
blue,blue,jj,1990
small,small,jj_np1,1990
fell,fall,vvd,1990
economy,economy,nn1,1990
down,down,ii@_rp,1990
big,big,jj,1990
small,small,jj,1990
curve,curve,nn1,1990
opportunity,opportunity,nn1,1990
wait,wait,vv0,1990
minute,minute,nnt1,1990
value,value,nn1,1990
do,do,vd0,1990
value,value,nn1,1990
look,look,vv0,1990
value,value,nn1,1990
value,value,nn1,1990
do,do,vd0,1990
bear,bear,nn1,1990
value,value,nn1,1990
value,value,nn1,1990
down,down,rp,1990
value,value,nn1,1990
cash,cash,nn1,1990
low,low,jj,1990
economy,economy,nn1,1990
value,value,nn1,1990
weak,weak,jj,1990
low,low,jj,1990
kind,kind,nn1,1990
value,value,nn1,1990
do,do,vdi,1990
bear,bear,nn1,1990
prove,prove,vv0,1990
bear,bear,nn1,1990
value,value,nn1,1990
stage,stage,nn1,1990
money,money,nn1,1990
value,value,nn1,1990
value,value,nn1,1990
small,small,jj,1990
turn,turn,nn1,1990
plan,plan,nn1,1990
value,value,nn1,1990
amount,amount,nn1,1990
down,down,rp,1990
value,value,nn1,1990
money,money,nn1,1990
past,past,jj,1990
three,three,mc,1990
strong,strong,jj,1990
look,look,vvi,1990
solid,solid,jj,1990
track,track,nn1,1990
money,money,nn1,1990
value,value,nn1,1990
selection,selection,nn1,1990
rough,rough,jj,1990
city,city,nn1,1990
firm,firm,nn1,1990
economy,economy,nn1,1990
phone,phone,nn1,1990
help,help,vvi,1990
money,money,nn1,1990
value,value,nn1,1990
value,value,nn1,1990
want,want,vv0,1990
value,value,nn1,1990
load,load,nn1,1990
value,value,nn1,1990
past,past,jj,1990
three,three,mc,1990
value,value,nn1,1990
down,down,rp,1990
big,big,jj,1990
solid,solid,jj,1990
money,money,nn1,1990
grade,grade,nn1,1990
past,past,jj,1990
cash,cash,nn1,1990
load,load,nn1,1990
down,down,rp,1990
past,past,jj,1990
value,value,nn1,1990
strong,strong,jj,1990
blue,blue,jj,1990
large,large,jj,1990
hold,hold,vvi,1990
level,level,nn1_jj,1990
big,big,jj,1990
lead,lead,vvi,1990
big,big,jj,1990
past,past,jj,1990
three,three,mc,1990
value,value,nn1,1990
look,look,vv0_nn1,1990
value,value,nn1,1990
value,value,nn1,1990
left,left,jj_vvn_nn1@,1990
bear,bear,nn1,1990
do,do,vd0,1990
city,city,nn1,1990
cash,cash,nn1,1990
little,little,rr22,1990
look,look,vvi,1990
down,down,rp,1990
low,low,jj,1990
high,high,jj_rr@,1990
big,big,jj,1990
plan,plan,vv0_nn1,1990
success,success,nn1,1990
income,income,nn1,1990
life,life,nn1,1990
blue,blue,jj,1990
intention,intention,nn1,1990
long,long,jj,1990
blue,blue,jj,1990
closer,closer,jjr,1990
look,look,nn1,1990
say,say,vv0,1990
exchange,exchange,nn1,1990
food,food,nn1,1990
taste,taste,nn1,1990
food,food,nn1,1990
hold,hold,nn1_vv0,1990
solid,solid,jj,1990
look,look,vv0,1990
strong,strong,jj,1990
city,city,nn1,1990
giant,giant,nn1_jj,1990
three,three,mc,1990
strength,strength,nn1,1990
development,development,nn1,1990
crisis,crisis,nn1,1990
down,down,rp,1990
suspicion,suspicion,nn1,1990
crisis,crisis,nn1,1990
trend,trend,nn1,1990
supply,supply,nn1,1990
under,under,rr21,1990
addition,addition,rr22,1990
big,big,jj,1990
crisis,crisis,nn1,1990
three,three,mc,1990
public,public,jj_nn1,1990
high,high,jj,1990
public,public,jj_nn1,1990
public,public,jj_nn1,1990
construction,construction,nn1,1990
cash,cash,nn1_vv0@,1990
expansion,expansion,nn1,1990
low,low,nn1@_jj,1990
city,city,nn1,1990
expansion,expansion,nn1,1990
increase,increase,vvi,1990
economy,economy,nn1,1990
economy,economy,nn1,1990
pound,pound,nn1,1990
economy,economy,nn1,1990
information,information,nn1,1990
large,large,jj,1990
business,business,nn1,1990
large,large,jj,1990
long,long,rr,1990
chain,chain,nn1,1990
east,east,np1,1990
approach,approach,nn1,1990
blue,blue,jj,1990
down,down,ii@_rp,1990
say,say,vv0,1990
big,big,jj,1990
hold,hold,vvi,1990
three,three,mc,1990
long,long,cs32,1990
strong,strong,jj,1990
balance,balance,nn1,1990
city,city,nn1,1990
firm,firm,nn1,1990
income,income,nn1,1990
economy,economy,nn1,1990
little,little,da1,1990
long,long,cs32_rr_jj,1990
information,information,nn1,1990
call,call,vv0_nn1,1990
bank,bank,nn1,1990
hold,hold,vv0,1990
management,management,nn1,1990
income,income,nn1,1990
trust,trust,nn1_vv0,1990
note,note,nn1,1990
crisis,crisis,nn1,1990
secure,secure,jj,1990
tax,tax,nn1,1990
income,income,nn1,1990
tax,tax,nn1,1990
city,city,nn1,1990
low,low,jj,1990
high,high,jj,1990
approach,approach,nn1,1990
big,big,jj,1990
jump,jump,nn1,1990
money,money,nn1,1990
vice,vice,jj_ii,1990
president,president,nn1,1990
city,city,nn1,1990
value,value,nn1,1990
public,public,jj_nn1,1990
public,public,jj_nn1,1990
close,close,rr_jj,1990
do,do,vd0,1990
long,long,jj_rr,1990
brilliant,brilliant,jj,1990
short,short,jj,1990
long,long,jj,1990
tax,tax,nn1,1990
estate,estate,nn1,1990
property,property,nn1,1990
fact,fact,nn1,1990
estate,estate,nn1,1990
estate,estate,nn1,1990
property,property,nn1,1990
checkered,checker,vvd,1990
trust,trust,nn1_vv0,1990
down,down,ii@_rp,1990
west,west,nd1,1990
orange,orange,jj_nn1,1990
tepid,tepid,jj,1990
estate,estate,nn1,1990
firm,firm,nn1,1990
money,money,nn1,1990
construction,construction,nn1,1990
city,city,nn1,1990
estate,estate,nn1,1990
rush,rush,nn1,1990
past,past,jj,1990
broken,break,vvn,1990
look,look,vvi,1990
property,property,nn1,1990
area,area,nn1,1990
down,down,rp,1990
look,look,vvi,1990
long,long,rr,1990
keep,keep,vvi,1990
fact,fact,nn1,1990
under,under,ii,1990
pressure,pressure,nn1,1990
estate,estate,nn1,1990
construction,construction,nn1,1990
construction,construction,nn1,1990
level,level,nn1_jj,1990
deep,deep,jj,1990
down,down,rp,1990
value,value,nn1,1990
unit,unit,nn1,1990
down,down,ii@_rp,1990
find,find,vvi,1990
property,property,nn1,1990
baby,baby,nn1,1990
second,second,md,1990
find,find,vvi,1990
close,close,rr,1990
estate,estate,nn1,1990
small,small,jj,1990
hold,hold,vvi,1990
estate,estate,nn1,1990
estate,estate,nn1,1990
trust,trust,nn1,1990
main,main,jj,1990
estate,estate,nn1,1990
do,do,vd0,1990
quality,quality,nn1,1990
estate,estate,nn1,1990
firm,firm,nn1,1990
three,three,mc,1990
plan,plan,nn1,1990
exchange,exchange,nn1,1990
small,small,jj,1990
down,down,ii@_rp,1990
past,past,jj,1990
down,down,ii@_rp,1990
little,little,da1_rr_jj,1990
hold,hold,vv0,1990
property,property,nn1,1990
clear,clear,rr,1990
property,property,nn1,1990
estate,estate,nn1,1990
rise,rise,vvi,1990
rise,rise,vv0,1990
development,development,nn1,1990
hot,hot,jj,1990
bank,bank,nn1,1990
rise,rise,vvi,1990
hot,hot,jj,1990
money,money,nn1,1990
city,city,nn1,1990
economy,economy,nn1,1990
estate,estate,nn1,1990
bank,bank,nn1,1990
money,money,nn1,1990
construction,construction,nn1,1990
economy,economy,nn1,1990
mild,mild,jj_nn1@,1990
brief,brief,vvi,1990
weak,weak,jj,1990
business,business,nn1,1990
falling,fall,vvg_jj@,1990
weak,weak,jj,1990
weak,weak,jj,1990
expansion,expansion,nn1,1990
do,do,vdi,1990
process,process,nn1,1990
note,note,vv0,1990
phone,phone,nn1,1990
money,money,nn1,1990
type,type,nn1,1990
income,income,nn1,1990
approach,approach,nn1,1990
past,past,jj,1990
estate,estate,nn1,1990
gold,gold,nn1_jj@,1990
broad,broad,jj,1990
aim,aim,nn1,1990
income,income,nn1,1990
income,income,nn1,1990
supply,supply,vvi,1990
income,income,nn1,1990
blue,blue,jj,1990
solid,solid,jj,1990
approach,approach,nn1,1990
money,money,nn1,1990
big,big,jj,1990
money,money,nn1,1990
cash,cash,nn1,1990
money,money,nn1,1990
turn,turn,vvi,1990
economy,economy,nn1,1990
down,down,rp_ii@,1990
weak,weak,jj,1990
economy,economy,nn1,1990
quality,quality,nn1,1990
money,money,nn1,1990
secure,secure,jj,1990
income,income,nn1,1990
income,income,nn1,1990
trust,trust,vv0_nn1,1990
hold,hold,vv0,1990
rise,rise,vv0,1990
tax,tax,nn1,1990
income,income,nn1,1990
flat,flat,jj_nn1,1990
income,income,nn1,1990
core,core,nn1,1990
long,long,rr_jj,1990
afford,afford,vvi,1990
hold,hold,vvi,1990
down,down,rp,1990
cash,cash,nn1,1990
sit,sit,vvi,1990
cash,cash,nn1,1990
down,down,rp,1990
cash,cash,nn1,1990
back,back,rp,1990
cash,cash,nn1,1990
century,century,nnt1,1990
approach,approach,nn1,1990
box,box,nn1,1990
century,century,nnt1,1990
small,small,jj_np1,1990
blue,blue,jj,1990
little,little,jj,1990
small,small,jj,1990
break,break,vvi,1990
expansion,expansion,nn1,1990
past,past,jj,1990
contend,contend,vvi,1990
safety,safety,nn1,1990
box,box,nn1,1990
money,money,nn1,1990
long,long,jj,1990
small,small,jj,1990
large,large,jj,1990
three,three,mc,1990
keep,keep,vvi,1990
money,money,nn1,1990
do,do,vd0,1990
dance,dance,vvi,1990
little,little,jj,1990
black,black,jj,1990
harmony,harmony,nn1,1990
value,value,nn1,1990
strong,strong,jj,1990
track,track,nn1,1990
high,high,jj,1990
cash,cash,nn1,1990
high,high,jj_rr@,1990
high,high,jj,1990
life,life,nn1,1990
money,money,nn1,1990
big,big,jj,1990
money,money,nn1,1990
variety,variety,nn1,1990
advantage,advantage,nn1,1990
amount,amount,nn1,1990
cash,cash,nn1,1990
gold,gold,nn1_jj@,1990
money,money,nn1,1990
small,small,jj,1990
high,high,jj_rr@,1990
give,give,vv0,1990
economy,economy,nn1,1990
give,give,vv0,1990
level,level,nn1,1990
advice,advice,nn1,1990
load,load,nn1_vv0,1990
balance,balance,nn1,1990
money,money,nn1,1990
load,load,nn1_vv0,1990
find,find,vvi,1990
hold,hold,vvi,1990
long,long,jj,1990
help,help,vvi,1990
low,low,jj,1990
high,high,jj,1990
note,note,vv0,1990
phone,phone,nn1,1990
income,income,nn1,1990
cash,cash,nn1,1990
income,income,nn1,1990
money,money,nn1,1990
three,three,mc,1990
cash,cash,nn1,1990
cash,cash,nn1,1990
portion,portion,nn1,1990
safety,safety,nn1,1990
deep,deep,rr,1990
quality,quality,nn1,1990
secure,secure,jj,1990
moment,moment,nn1,1990
economy,economy,nn1,1990
plan,plan,vv0,1990
note,note,nn1_vv0,1990
trust,trust,nn1,1990
hold,hold,vvi,1990
advantage,advantage,nn1,1990
addition,addition,rr22,1990
hold,hold,vv0,1990
little,little,da1,1990
call,call,vv0,1990
bank,bank,nn1,1990
keep,keep,vvi,1990
box,box,nn1,1990
income,income,nn1,1990
strong,strong,jj,1990
past,past,jj,1990
afford,afford,vvi,1990
keep,keep,vvi,1990
look,look,nn1,1990
long,long,jj,1990
box,box,nn1,1990
give,give,vvi,1990
core,core,nn1,1990
money,money,nn1,1990
low,low,jj,1990
give,give,vvi,1990
extend,extend,vvi,1990
portion,portion,nn1,1990
income,income,nn1,1990
high,high,jj,1990
do,do,vd0,1990
ease,ease,vv0_nn1,1990
money,money,nn1,1990
say,say,vv0,1990
down,down,rp,1990
keep,keep,vvi,1990
turn,turn,vvi,1990
cost,cost,nn1,1990
century,century,nnt1,1990
taste,taste,nn1,1990
small,small,jj_np1,1990
past,past,jj,1990
box,box,nn1,1990
keep,keep,vv0,1990
money,money,nn1,1990
safety,safety,nn1,1990
cash,cash,nn1,1990
weak,weak,jj,1990
down,down,rp_vv0%,1990
money,money,nn1,1990
bear,bear,vvi,1990
fact,fact,nn1,1990
past,past,jj,1990
high,high,jj,1990
management,management,nn1,1990
increase,increase,vvi,1990
high,high,jj,1990
hold,hold,vv0,1990
amount,amount,nn1,1990
management,management,nn1,1990
cost,cost,nn1,1990
little,little,da1,1990
approach,approach,nn1,1990
money,money,nn1,1990
blue,blue,jj,1990
income,income,nn1,1990
portion,portion,nn1,1990
high,high,jj,1990
level,level,nn1,1990
want,want,vvi,1990
small,small,jj,1990
blue,blue,jj,1990
level,level,nn1,1990
tax,tax,nn1,1990
give,give,vvi,1990
income,income,nn1,1990
do,do,vd0,1990
broad,broad,jj,1990
money,money,nn1,1990
cost,cost,nn1,1990
advantage,advantage,nn1,1990
bank,bank,nn1,1990
help,help,vvi,1990
finance,finance,nn1,1990
three,three,mc,1990
blue,blue,jj,1990
century,century,nnt1,1990
do,do,vd0,1990
give,give,vvi,1990
large,large,jj,1990
say,say,vv0,1990
exchange,exchange,nn1,1990
blue,blue,jj,1990
value,value,nn1,1990
income,income,nn1,1990
strong,strong,jj,1990
exchange,exchange,nn1,1990
past,past,jj_nn1,1990
small,small,jj,1990
theory,theory,nn1,1990
high,high,jj,1990
income,income,nn1,1990
three,three,mc,1990
small,small,jj,1990
big,big,jj,1990
small,small,jj,1990
small,small,jj,1990
second,second,md,1990
long,long,cs32,1990
bank,bank,nn1,1990
small,small,jj,1990
income,income,nn1,1990
tax,tax,nn1,1990
income,income,nn1,1990
addition,addition,rr22,1990
strain,strain,nn1,1990
public,public,jj_nn1,1990
city,city,nn1,1990
education,education,nn1,1990
blue,blue,jj,1990
three,three,mc,1990
money,money,nn1,1990
money,money,nn1,1990
east,east,nd1,1990
city,city,nn1,1990
want,want,vv0,1990
back,back,rp_nn1,1990
moment,moment,nn1,1990
black,black,jj_np1@,1990
hot,hot,jj,1990
give,give,vvi,1990
money,money,nn1,1990
bank,bank,np1@_nn1,1990
three,three,mc,1990
small,small,jj,1990
yellow,yellow,jj_nn1@,1990
red,red,jj,1990
box,box,nn1,1990
turn,turn,vvi,1990
eye,eye,nn1,1990
back,back,rp,1990
large,large,jj,1990
cash,cash,nn1,1990
aim,aim,vv0,1990
money,money,nn1,1990
large,large,jj,1990
three,three,mc,1990
value,value,nn1,1990
want,want,vvi,1990
back,back,rp,1990
say,say,vv0,1990
strong,strong,jj,1990
vice,vice,ii_jj_nn1,1990
president,president,nn1,1990
money,money,nn1,1990
short,short,jj,1990
economy,economy,nn1,1990
business,business,nn1,1990
want,want,vvi,1990
paper,paper,nn1,1990
cut,cut,nn1_jj@,1990
business,business,nn1,1990
safety,safety,nn1,1990
money,money,nn1,1990
center,center,nn1,1990
weak,weak,jj,1990
quality,quality,nn1,1990
fell,fall,vvd,1990
short,short,jj_rr@,1990
public,public,jj_nn1,1990
information,information,nn1,1990
strong,strong,jj,1990
president,president,nn1,1990
deep,deep,jj,1990
firm,firm,nn1_jj,1990
cash,cash,vv0@,1990
past,past,jj_nn1,1990
cast,cast,vv0_vvn,1990
cool,cool,jj,1990
eye,eye,nn1,1990
big,big,jj,1990
answer,answer,vvi,1990
question,question,nn1,1990
money,money,nn1,1990
economy,economy,nn1,1990
clear,clear,jj,1990
economy,economy,nn1,1990
look,look,nn1_vv0,1990
fair,fair,jj,1990
level,level,nn1_jj,1990
measure,measure,nn1,1990
camp,camp,nn1,1990
closer,close,rrr_jjr,1990
level,level,nn1_jj,1990
three,three,mc,1990
weak,weak,jj,1990
business,business,nn1,1990
business,business,nn1,1990
under,under,rg,1990
do,do,vd0,1990
money,money,nn1,1990
cut,cut,vvn,1990
reduction,reduction,nn1,1990
under,under,rr21,1990
find,find,vvi,1990
money,money,nn1,1990
fact,fact,nn1,1990
cause,cause,vvi,1990
cut,cut,vvn_jj@,1990
under,under,ii,1990
present,present,jj_nn1,1990
form,form,nn1,1990
high,high,jj_rr@,1990
plan,plan,vv0_nn1,1990
receive,receive,vvi,1990
income,income,nn1,1990
tax,tax,nn1,1990
account,account,nn1,1990
income,income,nn1,1990
level,level,nn1,1990
rise,rise,vvi,1990
wage,wage,nn1,1990
level,level,nn1,1990
problem,problem,nn1,1990
file,file,vvi,1990
plug,plug,vvi,1990
down,down,rp_ii@,1990
trust,trust,nn1,1990
bank,bank,nn1,1990
account,account,nn1_vv0,1990
money,money,nn1,1990
trust,trust,nn1,1990
red,red,nn1_jj,1990
theory,theory,nn1,1990
problem,problem,nn1,1990
wrong,wrong,jj_rr@_nn1@,1990
trust,trust,nn1_vv0,1990
trust,trust,nn1,1990
money,money,nn1,1990
paper,paper,nn1,1990
tax,tax,nn1,1990
money,money,nn1,1990
income,income,nn1,1990
trust,trust,nn1,1990
amount,amount,nn1,1990
large,large,jj,1990
administration,administration,nn1,1990
life,life,nn1,1990
worker,worker,nn1,1990
past,past,jj,1990
increase,increase,vv0_nn1,1990
cost,cost,nn1,1990
hard,hard,jj,1990
distance,distance,nn1,1990
cause,cause,nn1_vv0,1990
want,want,vv0,1990
magic,magic,jj_nn1,1990
job,job,nn1,1990
cost,cost,nn1,1990
tax,tax,nn1,1990
keep,keep,vvi,1990
tax,tax,nn1,1990
pride,pride,nn1,1990
money,money,nn1,1990
tough,tough,jj,1990
miss,miss,vvi,1990
small,small,jj,1990
advice,advice,nn1,1990
cash,cash,nn1,1990
cash,cash,nn1,1990
emergency,emergency,nn1,1990
three,three,mc,1990
income,income,nn1,1990
money,money,nn1,1990
tax,tax,nn1,1990
tax,tax,nn1,1990
income,income,nn1,1990
track,track,vvi,1990
open,open,rr@_vv0,1990
solid,solid,jj,1990
century,century,nnt1,1990
dream,dream,nn1,1990
cash,cash,nn1,1990
value,value,nn1,1990
life,life,nn1,1990
short,short,jj_nn1%,1990
down,down,rp,1990
down,down,jj%_nn1%,1990
down,down,jj%_nn1%,1990
claim,claim,vvi,1990
tax,tax,nn1,1990
hammer,hammer,nn1,1990
school,school,nn1,1990
want,want,vvi,1990
area,area,nn1,1990
do,do,vd0,1990
food,food,nn1,1990
hard,hard,jj,1990
area,area,nn1,1990
food,food,nn1,1990
second,second,md,1990
round,round,nn1,1990
pair,pair,nn,1990
wide,wide,jj,1990
hole,hole,nn1,1990
opening,opening,nn1,1990
metal,metal,nn1,1990
leave,leave,vvi,1990
small,small,jj_rr%,1990
plug,plug,vvi,1990
call,call,vvi,1990
method,method,nn1,1990
city,city,nn1,1990
food,food,nn1,1990
large,large,jj,1990
hold,hold,vvi,1990
supply,supply,nn1,1990
waste,waste,nn1,1990
small,small,jj,1990
friend,friend,nn1,1990
fine,fine,jj,1990
food,food,nn1,1990
wet,wet,jj,1990
keep,keep,vvi,1990
stop,stop,vv0_nn1,1990
fresh,fresh,jj,1990
give,give,vv0,1990
problem,problem,nn1,1990
wrong,wrong,jj,1990
kind,kind,nn1,1990
air,air,nn1,1990
dry,dry,jj,1990
process,process,nn1,1990
stop,stop,vvi,1990
keep,keep,vv0,1990
damp,damp,jj,1990
soggy,soggy,jj,1990
supply,supply,nn1,1990
paper,paper,nn1,1990
give,give,vv0,1990
