X1,X2,X3,Year
second,second,md,1990
beginning,begin,vvg,1990
phone,phone,nn1,1990
sea,sea,nn1,1990
red,red,jj_nn1,1990
red,red,jj,1990
shirt,shirt,nn1,1990
red,red,jj,1990
left,leave,vvd,1990
deal,deal,nn1,1990
team,team,nn1,1990
felt,feel,vvd,1990
impression,impression,nn1,1990
owner,owner,nn1,1990
want,want,vvi,1990
picture,picture,nn1,1990
want,want,vvi,1990
role,role,nn1,1990
break,break,vvi,1990
felt,feel,vvd_vvn,1990
pressure,pressure,nn1,1990
cause,cause,vvi,1990
do,do,vd0,1990
city,city,nn1,1990
do,do,vdi,1990
open,open,jj,1990
advice,advice,nn1,1990
pressure,pressure,nn1,1990
do,do,vd0,1990
situation,situation,nn1,1990
do,do,vd0,1990
close,close,rr_jj,1990
team,team,nn1,1990
pressure,pressure,nn1,1990
do,do,vd0,1990
view,view,vvi,1990
success,success,nn1,1990
team,team,nn1,1990
rise,rise,nn1,1990
under,under,ii,1990
second,second,md_nnt1,1990
west,west,nd1,1990
straight,straight,jj,1990
investigation,investigation,nn1,1990
feel,feel,vv0,1990
win,win,vvi,1990
close,close,jj_rr@,1990
short,short,jj_rr@,1990
talent,talent,nn1,1990
team,team,nn1,1990
quality,quality,nn1,1990
situation,situation,nn1,1990
hard,hard,jj,1990
knowledge,knowledge,nn1,1990
base,base,nn1,1990
team,team,nn1,1990
owner,owner,nn1,1990
plan,plan,vv0,1990
keep,keep,vvi,1990
distance,distance,nn1,1990
team,team,nn1,1990
city,city,nn1,1990
area,area,nn1,1990
portion,portion,nn1,1990
life,life,nn1,1990
paper,paper,nn1,1990
big,big,jj,1990
do,do,vdi,1990
do,do,vdi,1990
back,back,rp,1990
do,do,vd0,1990
want,want,vvi,1990
situation,situation,nn1,1990
do,do,vd0,1990
job,job,nn1,1990
long,long,jj,1990
track,track,nn1,1990
square,square,nnl1,1990
excitement,excitement,nn1,1990
three,three,mc,1990
receive,receive,vvi,1990
distance,distance,nn1,1990
closer,closer,jjr,1990
look,look,nn1,1990
kingdom,kingdom,np1,1990
strong,strong,jj,1990
council,council,nn1,1990
race,race,nn1,1990
bronze,bronze,nn1,1990
three,three,mc,1990
three,three,mc,1990
distance,distance,nn1,1990
three,three,mc,1990
high,high,jj,1990
jump,jump,nn1,1990
win,win,vvi,1990
title,title,nn1,1990
money,money,nn1,1990
three,three,mc,1990
money,money,nn1,1990
track,track,nn1,1990
square,square,nnl1,1990
excitement,excitement,nn1,1990
bone,bone,nn1,1990
foot,foot,nn1,1990
race,race,nn1,1990
night,night,nnt1,1990
three,three,mc,1990
receive,receive,vvi,1990
distance,distance,nn1,1990
closer,closer,jjr,1990
look,look,nn1,1990
kingdom,kingdom,np1,1990
strong,strong,jj,1990
council,council,nn1,1990
race,race,nn1,1990
three,three,mc,1990
three,three,mc,1990
distance,distance,nn1,1990
three,three,mc,1990
high,high,jj,1990
jump,jump,nn1,1990
win,win,vvi,1990
title,title,nn1,1990
century,century,nnt1,1990
under,under,rp@_ii_rg@,1990
feet,foot,nn2,1990
tiny,tiny,jj,1990
kingdom,kingdom,nn1,1990
kingdom,kingdom,nn1,1990
down,down,rp,1990
welcome,welcome,vv0_jj,1990
main,main,jj,1990
arrive,arrive,vvi,1990
opening,open,vvg_jj@_nn1,1990
beginning,begin,vvg,1990
whispering,whispering,nn1@,1990
entrance,entrance,nn1,1990
dry,dry,jj,1990
striped,striped,jj,1990
main,main,jj,1990
entrance,entrance,nn1,1990
past,past,ii,1990
form,form,nn1,1990
bank,bank,nn1,1990
tiny,tiny,jj,1990
swoop,swoop,vv0,1990
down,down,rp,1990
track,track,nn1,1990
left,left,jj,1990
turn,turn,nn1_vv0,1990
down,down,ii@_rp,1990
back,back,nn1_jj@,1990
back,back,nn1_jj@,1990
business,business,nn1,1990
work,work,nn1,1990
race,race,nn1,1990
track,track,nn1,1990
clear,clear,jj,1990
pink,pink,jj_nn1@,1990
blue,blue,jj_nn1@,1990
brown,brown,jj,1990
thick,thick,jj,1990
dust,dust,nn1,1990
broken,break,vvn,1990
race,race,nn1,1990
brief,brief,jj_nn1@,1990
meeting,meeting,nn1,1990
race,race,vvi,1990
stay,stay,vvi,1990
say,say,vv0,1990
sore,sore,jj_nn1@,1990
sour,sour,jj,1990
capacity,capacity,nn1,1990
century,century,nnt1,1990
afford,afford,vvi,1990
worker,worker,nn1,1990
machine,machine,nn1_vv0,1990
shiny,shiny,jj,1990
site,site,nn1,1990
win,win,vvi,1990
empty,empty,jj,1990
down,down,ii@_rp,1990
long,long,jj,1990
sunny,sunny,jj,1990
under,under,ii,1990
race,race,nn1,1990
track,track,nn1,1990
green,green,nn1_jj,1990
lush,lush,jj_nn1@,1990
track,track,nn1,1990
long,long,rr,1990
magic,magic,nn1,1990
kind,kind,nn1,1990
quick,quick,jj,1990
close,close,rr_jj,1990
track,track,nn1,1990
light,light,jj_nn1,1990
track,track,nn1,1990
beginning,begin,vvg,1990
chain,chain,nn1,1990
change,change,nn1,1990
second,second,md,1990
amount,amount,nn1,1990
cut,cut,vv0_vvd@,1990
receive,receive,vvi,1990
value,value,nn1,1990
contract,contract,nn1,1990
white,white,np1,1990
city,city,nn1,1990
swift,swift,np1,1990
pat,pat,np1,1990
past,past,ii,1990
night,night,nnt1,1990
fell,fall,vvd,1990
lead,lead,vvi,1990
left,leave,vvn,1990
cold,cold,jj_nn1,1990
past,past,ii,1990
second,second,md_nnt1,1990
lead,lead,vvi,1990
three,three,mc,1990
night,night,nnt1,1990
lead,lead,vvi,1990
back,back,nn1,1990
career,career,nn1,1990
lift,lift,vvi,1990
lead,lead,vvi,1990
hold,hold,nn1,1990
second,second,md,1990
round,round,nn1,1990
deep,deep,jj_rr,1990
down,down,ii@_rp,1990
second,second,md,1990
round,round,nn1,1990
balance,balance,nn1,1990
friend,friend,nn1,1990
round,round,nn1,1990
west,west,np1,1990
second,second,md,1990
round,round,nn1,1990
city,city,nn1,1990
giant,giant,nn1_jj,1990
title,title,nn1,1990
giant,giant,jj_nn1,1990
minute,minute,nnt1,1990
second,second,md_nnt1,1990
track,track,nn1_vv0@,1990
track,track,nn1,1990
open,open,jj,1990
square,square,nnl1,1990
big,big,jj,1990
gold,gold,nn1,1990
high,high,jj,1990
win,win,vvi,1990
back,back,nn1,1990
fine,fine,jj,1990
prove,prove,vvi,1990
small,small,jj,1990
back,back,nn1,1990
march,march,npm1,1990
long,long,jj,1990
painful,painful,jj,1990
camp,camp,nn1,1990
beginning,beginning,nn1,1990
strong,strong,jj,1990
look,look,vv0,1990
trim,trim,jj_nn1,1990
look,look,vv0,1990
feel,feel,vv0,1990
back,back,rp,1990
team,team,nn1,1990
look,look,vvi,1990
gray,gray,jj,1990
gray,gray,jj,1990
contract,contract,nn1,1990
contract,contract,nn1,1990
little,little,rr22,1990
cold,cold,jj_nn1,1990
team,team,nn1,1990
owner,owner,nn1,1990
fine,fine,jj,1990
owner,owner,nn1,1990
back,back,nn1_jj@,1990
cost,cost,vv0_vvd@,1990
left,left,jj_nn1@,1990
approach,approach,nn1,1990
advantage,advantage,nn1,1990
stay,stay,vvi,1990
excitement,excitement,nn1,1990
kind,kind,nn1,1990
excitement,excitement,nn1,1990
excitement,excitement,nn1,1990
back,back,rp,1990
health,health,nn1,1990
back,back,nn1_jj@,1990
team,team,nn1,1990
statement,statement,nn1,1990
left,left,jj,1990
change,change,nn1,1990
big,big,jj,1990
beginning,beginning,nn1,1990
