X1,X2,X3,Year
life,life,nn1,1990
strength,strength,nn1,1990
night,night,nnt1,1990
god,god,np1,1990
call,call,vv0,1990
friend,friend,nn1,1990
leave,leave,vv0,1990
heaven,heaven,nn1,1990
owner,owner,nn1,1990
death,death,nn1,1990
death,death,nn1,1990
felt,feel,vvd,1990
do,do,vdi,1990
question,question,nn1,1990
journey,journey,nn1,1990
life,life,nn1,1990
death,death,nn1,1990
death,death,nn1,1990
death,death,nn1,1990
death,death,nn1,1990
life,life,nn1,1990
life,life,nn1,1990
strange,strange,jj,1990
life,life,nn1,1990
death,death,nn1,1990
center,center,nn1,1990
process,process,nn1,1990
situation,situation,nn1,1990
heavy,heavy,jj,1990
life,life,nn1,1990
do,do,vdi,1990
stay,stay,vv0,1990
high,high,jj_rr@,1990
night,night,nnt1,1990
back,back,rp,1990
bloody,bloody,rr_jj,1990
body,body,nn1,1990
felt,feel,vvd,1990
crime,crime,nn1,1990
guilt,guilt,nn1,1990
trial,trial,nn1,1990
down,down,rp,1990
life,life,nn1,1990
die,die,vvi,1990
trial,trial,nn1,1990
death,death,nn1,1990
past,past,jj_nn1,1990
chair,chair,nn1,1990
crime,crime,nn1,1990
chair,chair,nn1,1990
death,death,nn1,1990
look,look,vvi,1990
eye,eye,nn1,1990
distance,distance,nn1,1990
back,back,rp,1990
clear,clear,jj,1990
die,die,vvi,1990
health,health,nn1,1990
appeal,appeal,vvi,1990
death,death,nn1,1990
stay,stay,nn1@,1990
appeal,appeal,nn1,1990
die,die,vvi,1990
hour,hour,nnt1,1990
death,death,nn1,1990
life,life,nn1,1990
want,want,vvi,1990
want,want,vvi,1990
down,down,rp,1990
keep,keep,vv0,1990
keep,keep,vvi,1990
chair,chair,nn1,1990
fog,fog,nn1,1990
death,death,nn1,1990
find,find,vvi,1990
feel,feel,nn1%_vv0,1990
guilt,guilt,nn1,1990
warm,warm,jj,1990
fact,fact,nn1,1990
beginning,beginning,nn1,1990
hold,hold,nn1,1990
say,say,vvi,1990
want,want,vvi,1990
wait,wait,vv0,1990
second,second,nnt1_md,1990
prove,prove,vv0,1990
hard,hard,jj,1990
look,look,nn1,1990
work,work,nn1,1990
instance,instance,rex22,1990
question,question,nn1,1990
answer,answer,vv0_nn1,1990
process,process,nn1_vv0,1990
say,say,vvi,1990
down,down,rp,1990
mouth,mouth,nn1,1990
do,do,vd0,1990
left,leave,vvd,1990
back,back,rp,1990
fact,fact,nn1,1990
dispute,dispute,nn1,1990
death,death,nn1,1990
fact,fact,nn1,1990
find,find,vvi,1990
investigation,investigation,nn1,1990
information,information,nn1,1990
bloody,bloody,jj,1990
crime,crime,nn1,1990
trial,trial,nn1,1990
clear,clear,jj,1990
impression,impression,nn1,1990
trial,trial,nn1,1990
attempt,attempt,nn1,1990
investigation,investigation,nn1,1990
trial,trial,nn1,1990
feel,feel,vv0,1990
hard,hard,rr_jj,1990
want,want,vvi,1990
wrong,wrong,jj_rr@,1990
trial,trial,nn1,1990
amount,amount,nn1,1990
public,public,jj_nn1,1990
death,death,nn1,1990
trial,trial,nn1,1990
do,do,vd0,1990
majority,majority,nn1,1990
do,do,vd0,1990
do,do,vd0,1990
do,do,vd0,1990
do,do,vd0,1990
do,do,vd0,1990
crime,crime,nn1,1990
do,do,vd0,1990
life,life,nn1,1990
chair,chair,nn1,1990
prove,prove,vvi,1990
dead,dead,rg@,1990
do,do,vdi,1990
do,do,vd0,1990
life,life,nn1,1990
death,death,nn1,1990
life,life,nn1,1990
life,life,nn1,1990
death,death,nn1,1990
trial,trial,nn1,1990
appeal,appeal,nn1,1990
down,down,rp,1990
death,death,nn1,1990
cut,cut,vvi,1990
short,short,jj_rr@,1990
do,do,vd0,1990
say,say,vvi,1990
find,find,vv0,1990
wrong,wrong,jj,1990
information,information,nn1,1990
leave,leave,vv0,1990
left,leave,vvn_jj,1990
say,say,vvi,1990
