Word,DominantModality,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity,POS,spoken,academic,news,magazine,fiction
abrasive,Haptic,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,0.329608939,Adj,1,5,0,4,4
absorbent,Visual,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,0.409574468,Adj,0,11,1,6,2
aching,Haptic,2.047619048,3.666666667,0.666666667,0.047619048,0.095238095,0.554744526,Adj,2,3,1,4,21
acidic,Gustatory,2.19047619,1.142857143,0.476190476,4.19047619,2.904761905,0.340611354,Adj,0,3,1,12,0
acrid,Olfactory,1.125,0.625,0.375,3.0,3.5,0.362318841,Adj,0,2,1,1,21
adhesive,Haptic,3.666666667,4.333333333,1.19047619,0.904761905,1.761904762,0.289156627,Adj,0,7,2,10,9
alcoholic,Gustatory,2.85,0.35,0.75,4.35,4.3,0.317460317,Adj,10,70,4,7,16
alive,Visual,4.571428571,3.80952381,4.095238095,1.571428571,2.380952381,0.182608696,Adj,70,135,42,134,296
amber,Visual,4.476190476,0.523809524,0.142857143,0.571428571,0.857142857,0.65942029,Adj,0,5,2,10,57
angular,Visual,4.285714286,4.095238095,0.25,0.047619048,0.047619048,0.485675307,Adj,0,19,1,9,13
antiseptic,Olfactory,1.666666667,0.9,0.142857143,1.761904762,3.952380952,0.4522329,Adj,0,6,0,4,6
aromatic,Olfactory,1.3,0.333333333,0.285714286,3.380952381,4.523809524,0.431410567,Adj,0,5,3,16,5
astringent,Gustatory,1.625,0.5,0.375,1.75,1.25,0.25,Adj,0,0,0,4,1
audible,Auditory,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,0.757352941,Adj,0,10,1,11,20
banging,Auditory,3.047619048,1.333333333,4.523809524,0.0,0.047619048,0.505319149,Adj,1,2,1,0,4
barbecued,Gustatory,4.619047619,1.380952381,1.571428571,4.952380952,4.666666667,0.207756233,Adj,3,1,2,3,2
barking,Auditory,3.380952381,0.476190476,5.0,0.142857143,0.523809524,0.51,Adj,0,3,0,8,8
beautiful,Visual,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,0.116766467,Adj,93,197,46,267,493
beeping,Auditory,1.428571429,0.142857143,4.857142857,0.0,0.047619048,0.75,Adj,0,0,0,2,5
beery,Gustatory,3.157894737,0.894736842,0.631578947,4.263157895,3.526315789,0.291139241,Adj,0,1,0,0,1
beige,Visual,4.476190476,0.095238095,0.095238095,0.047619048,0.095238095,0.920792079,Adj,1,3,3,11,22
bent,Visual,4.619047619,4.095238095,0.0,0.047619048,0.0,0.527173913,Adj,0,9,5,16,16
big,Visual,4.857142857,4.380952381,1.714285714,0.857142857,0.428571429,0.361867704,Adj,922,447,452,1344,1370
biscuity,Gustatory,3.476190476,2.238095238,0.904761905,4.952380952,3.0,0.277777778,Adj,0,0,0,0,0
bitter,Gustatory,0.857142857,0.095238095,0.19047619,4.904761905,2.904761905,0.537234043,Adj,25,67,22,44,68
black,Visual,4.571428571,0.095238095,0.142857143,0.095238095,0.142857143,0.886792453,Adj,348,1898,300,1362,1341
bland,Gustatory,2.095238095,0.428571429,0.80952381,4.80952381,3.619047619,0.372469636,Adj,2,10,9,19,11
blaring,Auditory,1.3,0.45,4.5,0.2,0.2,0.646616541,Adj,0,1,1,0,5
bleeping,Auditory,1.666666667,0.19047619,4.952380952,0.095238095,0.142857143,0.689189189,Adj,0,0,1,0,0
blonde,Visual,4.80952381,0.047619048,0.19047619,0.047619048,0.142857143,0.909090909,Adj,3,5,2,5,77
bloody,Visual,4.714285714,1.857142857,0.7,1.285714286,1.142857143,0.413843888,Adj,36,51,14,33,111
blotchy,Visual,4.619047619,1.666666667,0.428571429,0.380952381,0.238095238,0.597402597,Adj,1,0,0,1,4
blue,Visual,4.761904762,0.238095238,0.761904762,0.0,0.19047619,0.8,Adj,54,225,99,437,754
blunt,Haptic,4.571428571,4.714285714,0.904761905,0.25,0.19047619,0.425531915,Adj,7,16,2,17,21
boiling,Visual,4.428571429,4.047619048,2.761904762,2.095238095,1.0,0.239202658,Adj,7,13,10,34,16
booming,Auditory,2.095238095,0.952380952,4.571428571,0.095238095,0.095238095,0.573170732,Adj,9,13,8,30,12
bouncy,Haptic,3.571428571,3.666666667,2.0,0.0,0.0,0.396907216,Adj,0,1,0,4,3
brackish,Haptic,2.0,3.0,1.5,1.5,2.0,0.15,Adj,0,9,0,3,2
branching,Visual,4.1,2.45,1.2,0.05,0.1,0.512658228,Adj,0,14,0,13,5
breakable,Visual,4.285714286,4.238095238,2.095238095,0.095238095,0.095238095,0.387665198,Adj,0,0,1,3,0
breezy,Visual,3.0,2.761904762,2.952380952,0.047619048,0.571428571,0.316326531,Adj,1,2,3,8,3
bright,Visual,5.0,0.19047619,0.142857143,0.047619048,0.095238095,0.904347826,Adj,28,108,43,200,366
brilliant,Visual,3.952380952,2.19047619,3.0,2.523809524,2.095238095,0.134948097,Adj,17,94,18,99,81
briny,Gustatory,2.153846154,1.538461538,0.846153846,3.230769231,2.153846154,0.240310078,Adj,0,1,2,1,3
bristly,Haptic,4.3,4.65,1.95,1.05,0.2,0.366255144,Adj,0,1,0,2,1
brittle,Haptic,3.428571429,3.952380952,1.523809524,0.380952381,0.047619048,0.418367347,Adj,0,3,2,12,18
broad,Visual,4.047619048,3.095238095,0.952380952,0.19047619,0.285714286,0.45,Adj,25,524,61,140,126
broken,Visual,4.857142857,4.333333333,3.19047619,0.476190476,0.476190476,0.328571429,Adj,29,102,43,120,225
bronze,Visual,4.333333333,0.80952381,0.142857143,0.285714286,0.619047619,0.676923077,Adj,0,0,0,0,0
brown,Visual,4.714285714,0.19047619,0.095238095,0.333333333,0.238095238,0.829059829,Adj,15,110,50,234,338
brunette,Visual,4.8,0.0,0.1,0.0,0.0,0.979591837,Adj,0,0,0,0,0
bulky,Visual,4.428571429,3.761904762,0.571428571,0.333333333,0.095238095,0.471502591,Adj,0,6,1,31,16
bumpy,Haptic,4.095238095,4.476190476,1.238095238,0.65,0.047619048,0.421481985,Adj,2,3,1,15,11
burning,Olfactory,4.047619048,3.619047619,1.714285714,2.523809524,4.428571429,0.166180758,Adj,21,94,34,84,121
burnt,Olfactory,4.19047619,2.380952381,0.476190476,4.047619048,4.571428571,0.261398176,Adj,1,8,0,17,20
bursting,Visual,4.238095238,3.238095238,2.761904762,1.19047619,1.0,0.260536398,Adj,0,2,0,2,4
buttery,Gustatory,3.095238095,1.80952381,0.095238095,4.904761905,3.19047619,0.367272727,Adj,0,1,1,8,2
buzzing,Auditory,1.80952381,1.714285714,4.714285714,0.142857143,0.047619048,0.553672316,Adj,3,1,3,9,15
caramelized,Gustatory,3.523809524,1.428571429,0.285714286,4.380952381,3.904761905,0.302816901,Adj,0,0,0,1,3
charred,Visual,3.684210526,1.684210526,0.157894737,2.421052632,3.315789474,0.313084112,Adj,0,3,2,5,7
cheesy,Gustatory,3.047619048,0.476190476,0.666666667,4.714285714,4.19047619,0.323636364,Adj,1,1,1,6,4
checkered,Visual,4.473684211,0.263157895,0.105263158,0.0,0.0,0.923913043,Adj,2,3,0,5,9
chewy,Gustatory,2.571428571,2.047619048,1.333333333,4.476190476,0.619047619,0.349137931,Adj,0,2,2,5,5
chilly,Haptic,2.952380952,4.19047619,0.666666667,1.285714286,0.571428571,0.374384236,Adj,2,4,9,19,40
chocolatey,Gustatory,4.19047619,1.0,0.333333333,4.952380952,4.523809524,0.307936508,Adj,0,0,0,0,0
chubby,Visual,4.952380952,4.095238095,0.428571429,0.19047619,0.571428571,0.465116279,Adj,0,0,1,3,12
circular,Visual,4.761904762,3.857142857,0.142857143,0.095238095,0.0,0.537634409,Adj,3,45,1,36,35
citrusy,Gustatory,2.571428571,0.571428571,0.047619048,5.0,3.952380952,0.407843137,Adj,0,0,0,1,0
clammy,Haptic,2.75,4.35,0.4,0.6,1.45,0.413612565,Adj,0,1,0,0,7
clamorous,Haptic,2.25,2.875,2.375,0.125,0.875,0.323529412,Adj,0,4,0,1,0
