Word,Lemma,POS,Year,Register
school,school,nn1,1820,fic
give,give,vvi,1820,fic
trust,trust,vv0,1820,fic
feet,foot,nn2,1820,fic
work,work,nn1_vv0,1820,fic
fear,fear,nn1,1820,fic
high,high,jj,1820,fic
race,race,nn1,1820,fic
fell,fall,vvd,1820,fic
sight,sight,nn1,1820,fic
down,down,rp_ii@,1820,fic
sound,sound,nn1,1820,fic
metal,metal,nn1,1820,fic
buzzing,buzz,jj,1820,fic
loud,loud,jj,1820,fic
public,public,jj_nn1,1820,fic
work,work,nn1,1820,fic
down,down,rp,1820,fic
prove,prove,vv0,1820,fic
eye,eye,nn1,1820,fic
sharp,sharp,rr@_jj,1820,fic
fell,fall,vvd,1820,fic
foot,foot,nn1,1820,fic
spirit,spirit,nn1,1820,fic
strength,strength,nn1,1820,fic
strength,strength,nn1,1820,fic
miss,miss,vvi,1820,fic
aim,aim,nn1_vv0,1820,fic
bear,bear,vv0@_nn1,1820,fic
wide,wide,jj_rr@,1820,fic
down,down,rp_ii@,1820,fic
hurt,hurt,vvd_vv0,1820,fic
vote,vote,vvi,1820,fic
long,long,rr,1820,fic
strength,strength,nn1,1820,fic
turn,turn,nn1,1820,fic
night,night,nnt1,1820,fic
public,public,jj_nn1,1820,fic
second,second,md_nnt1,1820,fic
vote,vote,nn1_vv0,1820,fic
stop,stop,vvi,1820,fic
turn,turn,nn1_vv0,1820,fic
high,high,jj_rr@,1820,fic
break,break,vvi,1820,fic
heaven,heaven,nn1,1820,fic
open,open,vv0@,1820,fic
bore,bore,vvd_vv0,1820,fic
round,round,jj_nn1@,1820,fic
keep,keep,vvi,1820,fic
dead,dead,jj,1820,fic
wrong,wrong,jj,1820,fic
strange,strange,jj,1820,fic
sour,sour,jj,1820,fic
down,down,rp,1820,fic
feel,feel,vvi,1820,fic
deep,deep,jj,1820,fic
high,high,jj,1820,fic
cure,cure,vvi,1820,fic
dull,dull,jj,1820,fic
turn,turn,nn1,1820,fic
strength,strength,nn1,1820,fic
back,back,nn1,1820,fic
bent,bend,vvd_vvn,1820,fic
high,high,jj_rr@,1820,fic
lift,lift,vvi,1820,fic
fell,fall,np1_vvd@,1820,fic
strange,strange,jj,1820,fic
shock,shock,nn1,1820,fic
knowledge,knowledge,nn1,1820,fic
falling,fall,vvg,1820,fic
long,long,rr,1820,fic
race,race,nn1,1820,fic
wide,wide,jj_rr@,1820,fic
spite,spite,nn1,1820,fic
work,work,vvi,1820,fic
craft,craft,nn1,1820,fic
work,work,nn1_vv0,1820,fic
firm,firm,jj_nn1,1820,fic
short,short,rr22,1820,fic
heaven,heaven,nn1,1820,fic
prove,prove,vvi,1820,fic
duty,duty,nn1,1820,fic
text,text,nn1,1820,fic
heaven,heaven,nn1,1820,fic
heaven,heaven,nn1,1820,fic
extreme,extreme,jj,1820,fic
under,under,ii,1820,fic
license,license,nn1,1820,fic
heaven,heaven,nn1,1820,fic
origin,origin,nn1,1820,fic
kind,kind,nn1_jj@,1820,fic
long,long,rr,1820,fic
race,race,nn1,1820,fic
fell,fall,vvd,1820,fic
grace,grace,nn1,1820,fic
distance,distance,nn1,1820,fic
slavery,slavery,nn1,1820,fic
paper,paper,nn1,1820,fic
look,look,vv0,1820,fic
heaven,heaven,nn1,1820,fic
high,high,jj,1820,fic
say,say,vv0,1820,fic
heaven,heaven,nn1,1820,fic
down,down,rp,1820,fic
race,race,nn1,1820,fic
claim,claim,nn1_vv0,1820,fic
heaven,heaven,nn1,1820,fic
miss,miss,nn1@,1820,fic
aim,aim,nn1,1820,fic
god,god,np1,1820,fic
observe,observe,vv0,1820,fic
black,black,jj,1820,fic
high,high,jj_rr@,1820,fic
find,find,vvi,1820,fic
supply,supply,nn1_vv0,1820,fic
crime,crime,nn1,1820,fic
want,want,nn1%,1820,fic
grace,grace,nn1,1820,fic
suffice,suffice,vvi,1820,fic
present,present,rr22,1820,fic
portion,portion,nn1,1820,fic
leave,leave,vv0,1820,fic
say,say,vvi,1820,fic
leave,leave,vv0,1820,fic
give,give,vvi,1820,fic
mild,mild,jj,1820,fic
help,help,nn1,1820,fic
say,say,vv0,1820,fic
help,help,vvi,1820,fic
tender,tender,jj_nn1@,1820,fic
keep,keep,vvi,1820,fic
pride,pride,nn1,1820,fic
anger,anger,nn1,1820,fic
fear,fear,nn1_vv0,1820,fic
want,want,vv0,1820,fic
throw,throw,vv0,1820,fic
satisfaction,satisfaction,nn1,1820,fic
inch,inch,nnu1,1820,fic
want,want,vv0_nn1%,1820,fic
search,search,nn1,1820,fic
left,leave,vvn_jj_vvd,1820,fic
clear,clear,jj_rr@,1820,fic
spite,spite,nn1,1820,fic
prove,prove,vvi,1820,fic
foot,foot,nn1,1820,fic
eye,eye,nn1,1820,fic
failure,failure,nn1,1820,fic
swift,swift,jj,1820,fic
bullet,bullet,nn1,1820,fic
effect,effect,nn1,1820,fic
work,work,nn1_vv0,1820,fic
spirit,spirit,nn1,1820,fic
band,band,nn1,1820,fic
hell,hell,nn1,1820,fic
cut,cut,vvi,1820,fic
turn,turn,nn1,1820,fic
black,black,jj,1820,fic
red,red,nn1_jj,1820,fic
wide,wide,rr,1820,fic
job,job,nn1,1820,fic
spite,spite,ii32,1820,fic
pride,pride,nn1,1820,fic
wide,wide,jj_rr@,1820,fic
break,break,vvi,1820,fic
keep,keep,vvi,1820,fic
distance,distance,nn1,1820,fic
felt,feel,vvd,1820,fic
find,find,vvi,1820,fic
tax,tax,nn1,1820,fic
turn,turn,nn1,1820,fic
master,master,nn1,1820,fic
heaven,heaven,nn1,1820,fic
small,small,jj,1820,fic
bore,bore,vvd_vv0,1820,fic
three,three,mc,1820,fic
hold,hold,nn1,1820,fic
night,night,nnt1,1820,fic
silent,silent,jj,1820,fic
call,call,nn1,1820,fic
fell,fall,vvd,1820,fic
hollow,hollow,jj_nn1,1820,fic
blacken,blacken,vv0,1820,fic
rush,rush,nn1,1820,fic
march,march,np1@_npm1,1820,fic
open,open,jj,1820,fic
sight,sight,nn1,1820,fic
round,round,vvi,1820,fic
back,back,nn1_rp,1820,fic
alive,alive,jj,1820,fic
kind,kind,nn1_jj@,1820,fic
hold,hold,vvi,1820,fic
call,call,vv0,1820,fic
boiling,boiling,jj_vvg,1820,fic
down,down,rp,1820,fic
sea,sea,nn1,1820,fic
turn,turn,nn1,1820,fic
deep,deep,rr_jj_nn1@,1820,fic
sound,sound,vvi,1820,fic
march,march,nn1_vv0_npm1,1820,fic
deep,deep,jj_nn1@,1820,fic
down,down,rp,1820,fic
view,view,vvi,1820,fic
plain,plain,jj_rr@,1820,fic
cut,cut,vvi,1820,fic
happy,happy,jj,1820,fic
round,round,rp_vv0@,1820,fic
work,work,nn1_vv0,1820,fic
grace,grace,nn1@,1820,fic
estate,estate,nn1,1820,fic
wait,wait,vv0_nn1@,1820,fic
rise,rise,vv0_nn1,1820,fic
hat,hat,nn1,1820,fic
view,view,vv0@_nn1,1820,fic
