Word,Lemma,POS,Year,Register
green,green,jj_nn1,1900,fic
eye,eye,nn1,1900,fic
black,black,jj,1900,fic
hot,hot,jj,1900,fic
voice,voice,nn1,1900,fic
behold,behold,vv0,1900,fic
heat,heat,nn1,1900,fic
glance,glance,nn1,1900,fic
polished,polished,jj,1900,fic
hear,hear,vvi,1900,fic
see,see,vvi,1900,fic
voice,voice,nn1,1900,fic
white,white,jj,1900,fic
eye,eye,nn1,1900,fic
audible,audible,jj,1900,fic
brown,brown,jj,1900,fic
sound,sound,nn1,1900,fic
color,color,nn1,1900,fic
shine,shine,nn1,1900,fic
glance,glance,nn1,1900,fic
look,look,nn1,1900,fic
silence,silence,nn1,1900,fic
speak,speak,vvi,1900,fic
voice,voice,nn1,1900,fic
cold,cold,nn1_jj,1900,fic
tender,tender,jj,1900,fic
voice,voice,nn1,1900,fic
shout,shout,nn1,1900,fic
glance,glance,nn1,1900,fic
shadow,shadow,nn1,1900,fic
brown,brown,jj,1900,fic
music,music,nn1,1900,fic
song,song,nn1,1900,fic
tune,tune,nn1,1900,fic
bitter,bitter,jj,1900,fic
look,look,nn1,1900,fic
eye,eye,nn1,1900,fic
look,look,nn1,1900,fic
see,see,vv0,1900,fic
see,see,vv0,1900,fic
sweet,sweet,jj,1900,fic
shadow,shadow,nn1,1900,fic
flavor,flavor,nn1,1900,fic
cold,cold,jj,1900,fic
shine,shine,nn1,1900,fic
warmth,warmth,nn1,1900,fic
picture,picture,nn1,1900,fic
voice,voice,nn1,1900,fic
tender,tender,jj,1900,fic
yellow,yellow,jj,1900,fic
scent,scent,nn1,1900,fic
silence,silence,nn1,1900,fic
tender,tender,jj,1900,fic
shadow,shadow,nn1,1900,fic
white,white,jj,1900,fic
silence,silence,nn1,1900,fic
pale,pale,jj,1900,fic
speak,speak,vvi,1900,fic
sharp,sharp,jj,1900,fic
voice,voice,nn1,1900,fic
silent,silent,jj,1900,fic
voice,voice,nn1,1900,fic
black,black,jj,1900,fic
golden,golden,jj,1900,fic
brown,brown,jj_nn1@,1900,fic
silence,silence,nn1,1900,fic
eye,eye,nn1,1900,fic
black,black,jj,1900,fic
bang,bang,nn1@,1900,fic
see,see,vvi,1900,fic
gaze,gaze,nn1,1900,fic
brown,brown,jj,1900,fic
gray,gray,jj,1900,fic
brown,brown,jj,1900,fic
eye,eye,nn1,1900,fic
look,look,vvi,1900,fic
shine,shine,nn1,1900,fic
scarlet,scarlet,nn1@_jj,1900,fic
gray,gray,jj,1900,fic
whisper,whisper,nn1,1900,fic
look,look,nn1,1900,fic
voice,voice,nn1,1900,fic
glance,glance,nn1,1900,fic
eye,eye,nn1,1900,fic
green,green,jj_nn1,1900,fic
eye,eye,nn1,1900,fic
music,music,nn1,1900,fic
sight,sight,nn1,1900,fic
silent,silent,jj,1900,fic
red,red,nn1,1900,fic
eye,eye,nn1,1900,fic
shimmer,shimmer,nn1,1900,fic
shining,shine,jj,1900,fic
see,see,vv0,1900,fic
look,look,vv0,1900,fic
see,see,vv0,1900,fic
glance,glance,nn1,1900,fic
voice,voice,nn1,1900,fic
bitterness,bitterness,nn1,1900,fic
sight,sight,nn1,1900,fic
color,color,nn1,1900,fic
wet,wet,vvn@_jj,1900,fic
bright,bright,jj,1900,fic
blue,blue,jj,1900,fic
scarlet,scarlet,jj,1900,fic
rough,rough,jj,1900,fic
listen,listen,vvi,1900,fic
black,black,jj,1900,fic
peal,peal,vv0_nn1,1900,fic
peal,peal,nn1,1900,fic
splash,splash,nn1,1900,fic
wet,wet,jj_vvd@,1900,fic
wet,wet,jj,1900,fic
splash,splash,nn1,1900,fic
clammy,clammy,jj,1900,fic
blue,blue,jj,1900,fic
white,white,jj,1900,fic
eye,eye,nn1,1900,fic
pink,pink,jj,1900,fic
color,color,nn1,1900,fic
polka,polka,nn1,1900,fic
warmth,warmth,nn1,1900,fic
behold,behold,vvi,1900,fic
bright,bright,jj,1900,fic
glance,glance,nn1,1900,fic
look,look,vvi,1900,fic
eye,eye,nn1,1900,fic
hear,hear,vvi,1900,fic
talk,talk,vvi,1900,fic
chatter,chatter,nn1,1900,fic
look,look,nn1,1900,fic
see,see,vvi,1900,fic
touch,touch,nn1,1900,fic
look,look,vv0,1900,fic
sing,sing,vvi,1900,fic
see,see,vvi,1900,fic
