Word,Register,n,Year
academy,mag,5,1810.0
academy,nf,31,1810.0
accomplish,mag,2,1810.0
accomplish,nf,13,1810.0
account,fic,16,1810.0
account,mag,19,1810.0
account,nf,40,1810.0
aching,fic,2,1810.0
addition,mag,5,1810.0
addition,nf,14,1810.0
administration,fic,1,1810.0
administration,mag,1,1810.0
administration,nf,33,1810.0
admission,fic,1,1810.0
admission,nf,11,1810.0
advantage,fic,7,1810.0
advantage,mag,2,1810.0
advantage,nf,59,1810.0
advice,fic,5,1810.0
advice,mag,1,1810.0
advice,nf,26,1810.0
afford,fic,8,1810.0
afford,mag,11,1810.0
afford,nf,28,1810.0
aim,fic,11,1810.0
aim,mag,1,1810.0
aim,nf,17,1810.0
air,fic,27,1810.0
air,mag,12,1810.0
air,nf,13,1810.0
alienate,nf,3,1810.0
alive,fic,10,1810.0
alive,mag,4,1810.0
alive,nf,1,1810.0
alter,fic,5,1810.0
alter,mag,1,1810.0
alter,nf,5,1810.0
amateur,nf,1,1810.0
amount,fic,7,1810.0
amount,mag,7,1810.0
amount,nf,21,1810.0
anger,fic,11,1810.0
anger,mag,1,1810.0
anger,nf,6,1810.0
annihilate,nf,2,1810.0
annoy,fic,1,1810.0
annoy,nf,1,1810.0
answer,fic,23,1810.0
answer,mag,1,1810.0
answer,nf,75,1810.0
appeal,fic,3,1810.0
appeal,mag,1,1810.0
appeal,nf,19,1810.0
approach,fic,11,1810.0
approach,mag,3,1810.0
approach,nf,11,1810.0
area,mag,1,1810.0
aromatic,fic,1,1810.0
arrange,fic,2,1810.0
arrange,nf,1,1810.0
arrangement,fic,1,1810.0
arrangement,mag,3,1810.0
arrangement,nf,9,1810.0
arrive,fic,2,1810.0
arrive,mag,2,1810.0
arrive,nf,6,1810.0
ascend,nf,1,1810.0
aspect,fic,2,1810.0
aspect,mag,3,1810.0
aspect,nf,5,1810.0
astonish,fic,2,1810.0
astonish,nf,1,1810.0
atom,fic,2,1810.0
attempt,fic,9,1810.0
attempt,mag,4,1810.0
attempt,nf,27,1810.0
audible,nf,1,1810.0
aunt,fic,4,1810.0
await,fic,3,1810.0
await,nf,1,1810.0
baby,fic,1,1810.0
baby,mag,1,1810.0
back,fic,67,1810.0
back,mag,3,1810.0
back,nf,19,1810.0
balance,fic,5,1810.0
balance,mag,1,1810.0
balance,nf,6,1810.0
band,fic,8,1810.0
band,nf,4,1810.0
banging,fic,1,1810.0
bank,fic,32,1810.0
bank,mag,3,1810.0
bank,nf,1,1810.0
base,fic,11,1810.0
base,nf,9,1810.0
bath,fic,6,1810.0
bath,nf,3,1810.0
bear,fic,35,1810.0
bear,mag,8,1810.0
bear,nf,23,1810.0
beautiful,fic,12,1810.0
beautiful,mag,4,1810.0
beautiful,nf,18,1810.0
beauty,fic,30,1810.0
beauty,mag,4,1810.0
beauty,nf,22,1810.0
beginning,fic,4,1810.0
beginning,nf,3,1810.0
belt,fic,1,1810.0
bent,fic,5,1810.0
bent,mag,3,1810.0
bent,nf,5,1810.0
beseech,fic,4,1810.0
big,fic,5,1810.0
bitter,fic,3,1810.0
bitter,mag,3,1810.0
bitter,nf,7,1810.0
black,fic,8,1810.0
black,mag,5,1810.0
black,nf,5,1810.0
blame,fic,6,1810.0
blame,mag,1,1810.0
blame,nf,5,1810.0
bland,fic,1,1810.0
bloody,fic,6,1810.0
bloody,nf,6,1810.0
blue,fic,5,1810.0
blue,mag,2,1810.0
blue,nf,2,1810.0
body,fic,30,1810.0
body,mag,13,1810.0
body,nf,142,1810.0
bolt,fic,2,1810.0
bone,fic,3,1810.0
booming,fic,1,1810.0
border,nf,1,1810.0
bore,fic,4,1810.0
bore,nf,4,1810.0
borrow,fic,10,1810.0
bother,fic,1,1810.0
box,fic,4,1810.0
box,nf,10,1810.0
break,fic,16,1810.0
break,mag,2,1810.0
break,nf,11,1810.0
breath,fic,16,1810.0
breath,nf,3,1810.0
brief,fic,1,1810.0
brief,nf,5,1810.0
bright,fic,12,1810.0
bright,mag,2,1810.0
bright,nf,3,1810.0
brilliant,fic,6,1810.0
brilliant,mag,1,1810.0
brilliant,nf,4,1810.0
broad,fic,6,1810.0
broad,mag,1,1810.0
broad,nf,2,1810.0
broken,fic,11,1810.0
broken,mag,2,1810.0
broken,nf,15,1810.0
brown,fic,3,1810.0
brown,nf,1,1810.0
brunette,fic,1,1810.0
builder,fic,1,1810.0
builder,mag,1,1810.0
bullet,fic,1,1810.0
burning,fic,7,1810.0
burning,mag,3,1810.0
burning,nf,8,1810.0
burnt,fic,1,1810.0
burnt,nf,4,1810.0
bursting,fic,3,1810.0
bursting,mag,1,1810.0
business,fic,42,1810.0
business,mag,8,1810.0
business,nf,34,1810.0
buzzing,fic,1,1810.0
call,fic,60,1810.0
call,mag,8,1810.0
call,nf,28,1810.0
camp,fic,13,1810.0
camp,mag,1,1810.0
camp,nf,5,1810.0
capacity,fic,1,1810.0
capacity,mag,1,1810.0
capacity,nf,28,1810.0
career,fic,3,1810.0
career,mag,1,1810.0
career,nf,12,1810.0
cash,fic,14,1810.0
cast,fic,28,1810.0
cast,mag,5,1810.0
cast,nf,15,1810.0
cause,fic,41,1810.0
cause,mag,15,1810.0
cause,nf,58,1810.0
cellar,fic,7,1810.0
century,fic,4,1810.0
century,mag,1,1810.0
century,nf,7,1810.0
chain,fic,5,1810.0
chain,mag,1,1810.0
chain,nf,5,1810.0
chair,fic,9,1810.0
chair,nf,5,1810.0
change,fic,16,1810.0
change,mag,1,1810.0
change,nf,39,1810.0
city,fic,27,1810.0
city,mag,5,1810.0
city,nf,29,1810.0
claim,fic,22,1810.0
claim,mag,4,1810.0
claim,nf,14,1810.0
clamorous,nf,1,1810.0
clean,mag,1,1810.0
clear,fic,11,1810.0
clear,mag,4,1810.0
clear,nf,16,1810.0
close,fic,14,1810.0
close,mag,3,1810.0
close,nf,4,1810.0
closer,nf,4,1810.0
cloudy,fic,1,1810.0
cold,fic,16,1810.0
cold,mag,5,1810.0
cold,nf,6,1810.0
collection,fic,1,1810.0
collection,mag,9,1810.0
collection,nf,8,1810.0
colossal,fic,1,1810.0
comedy,fic,7,1810.0
compact,mag,1,1810.0
compact,nf,10,1810.0
competition,nf,4,1810.0
complain,fic,3,1810.0
complain,mag,1,1810.0
condition,fic,5,1810.0
condition,mag,12,1810.0
condition,nf,32,1810.0
confidence,fic,12,1810.0
confidence,mag,9,1810.0
confidence,nf,37,1810.0
consequence,fic,8,1810.0
consequence,mag,3,1810.0
consequence,nf,55,1810.0
construction,fic,1,1810.0
construction,nf,17,1810.0
contend,mag,1,1810.0
contend,nf,4,1810.0
content,fic,6,1810.0
content,mag,5,1810.0
content,nf,9,1810.0
contract,fic,2,1810.0
contract,nf,4,1810.0
cool,fic,3,1810.0
cool,nf,5,1810.0
corrupt,fic,1,1810.0
corrupt,mag,1,1810.0
corrupt,nf,16,1810.0
cost,fic,4,1810.0
cotton,fic,5,1810.0
council,fic,3,1810.0
council,mag,3,1810.0
council,nf,29,1810.0
cousin,fic,16,1810.0
cousin,nf,1,1810.0
craft,fic,2,1810.0
crashing,mag,1,1810.0
crime,fic,16,1810.0
crime,mag,1,1810.0
crime,nf,9,1810.0
crimson,fic,4,1810.0
crisis,fic,3,1810.0
crisis,nf,4,1810.0
crooked,fic,3,1810.0
crowded,fic,3,1810.0
crowded,mag,1,1810.0
crowded,nf,1,1810.0
crying,fic,2,1810.0
crying,nf,1,1810.0
cup,fic,1,1810.0
cup,nf,11,1810.0
cure,fic,5,1810.0
cure,nf,6,1810.0
curiosity,fic,2,1810.0
curiosity,mag,3,1810.0
curiosity,nf,15,1810.0
cut,fic,18,1810.0
cut,mag,2,1810.0
cut,nf,12,1810.0
cute,fic,2,1810.0
damp,fic,1,1810.0
dance,fic,6,1810.0
dance,nf,1,1810.0
dark,fic,10,1810.0
dark,mag,6,1810.0
dark,nf,12,1810.0
dazzling,mag,1,1810.0
dead,fic,38,1810.0
dead,mag,4,1810.0
dead,nf,14,1810.0
deal,fic,7,1810.0
deal,mag,7,1810.0
deal,nf,7,1810.0
death,fic,66,1810.0
death,mag,11,1810.0
death,nf,61,1810.0
deck,fic,3,1810.0
deep,fic,16,1810.0
deep,mag,7,1810.0
deep,nf,16,1810.0
defeat,fic,3,1810.0
defeat,nf,7,1810.0
delicious,fic,5,1810.0
delight,fic,10,1810.0
delight,mag,3,1810.0
delight,nf,6,1810.0
democracy,nf,5,1810.0
depart,fic,7,1810.0
depart,mag,1,1810.0
depart,nf,3,1810.0
department,mag,1,1810.0
department,nf,64,1810.0
depression,mag,2,1810.0
depression,nf,1,1810.0
desk,fic,1,1810.0
development,fic,1,1810.0
development,mag,5,1810.0
development,nf,1,1810.0
die,fic,34,1810.0
die,mag,1,1810.0
die,nf,10,1810.0
dim,nf,1,1810.0
direction,fic,3,1810.0
direction,mag,5,1810.0
direction,nf,18,1810.0
dirty,fic,3,1810.0
discriminate,mag,1,1810.0
discriminate,nf,1,1810.0
disease,fic,4,1810.0
disease,mag,1,1810.0
disease,nf,5,1810.0
disobey,fic,1,1810.0
disobey,nf,2,1810.0
dispute,fic,1,1810.0
dispute,mag,1,1810.0
dispute,nf,10,1810.0
distance,fic,10,1810.0
distance,mag,9,1810.0
distance,nf,31,1810.0
distinction,fic,1,1810.0
distinction,mag,4,1810.0
distinction,nf,34,1810.0
dive,fic,1,1810.0
do,fic,440,1810.0
do,mag,30,1810.0
do,nf,188,1810.0
doctor,fic,33,1810.0
doctor,mag,1,1810.0
doctor,nf,3,1810.0
down,fic,93,1810.0
down,mag,10,1810.0
down,nf,55,1810.0
downy,fic,1,1810.0
drag,fic,3,1810.0
drama,fic,18,1810.0
dream,fic,7,1810.0
dream,mag,2,1810.0
dream,nf,3,1810.0
dry,fic,16,1810.0
dry,mag,1,1810.0
dry,nf,2,1810.0
dull,fic,5,1810.0
dull,mag,3,1810.0
dull,nf,1,1810.0
dust,fic,4,1810.0
dust,nf,11,1810.0
duty,fic,31,1810.0
duty,mag,9,1810.0
duty,nf,97,1810.0
ease,fic,14,1810.0
ease,mag,1,1810.0
east,mag,7,1810.0
east,nf,11,1810.0
echoing,fic,1,1810.0
economy,mag,1,1810.0
economy,nf,11,1810.0
edge,mag,6,1810.0
edge,nf,4,1810.0
education,fic,10,1810.0
education,mag,17,1810.0
education,nf,14,1810.0
effect,fic,11,1810.0
effect,mag,13,1810.0
effect,nf,73,1810.0
effort,fic,8,1810.0
effort,mag,4,1810.0
effort,nf,7,1810.0
elastic,fic,2,1810.0
elegant,fic,5,1810.0
elegant,mag,2,1810.0
elegant,nf,6,1810.0
emergency,nf,1,1810.0
emotion,fic,7,1810.0
emotion,mag,2,1810.0
emotion,nf,4,1810.0
empty,fic,9,1810.0
empty,nf,3,1810.0
emulate,fic,1,1810.0
emulate,nf,1,1810.0
engagement,fic,1,1810.0
engagement,nf,2,1810.0
enormous,fic,2,1810.0
enthusiasm,fic,2,1810.0
enthusiasm,mag,6,1810.0
enthusiasm,nf,6,1810.0
entrance,fic,5,1810.0
entrance,mag,1,1810.0
entrance,nf,1,1810.0
equipment,nf,1,1810.0
estate,fic,11,1810.0
estate,nf,6,1810.0
estimate,mag,2,1810.0
estimate,nf,10,1810.0
examine,fic,2,1810.0
examine,mag,3,1810.0
examine,nf,19,1810.0
exchange,fic,5,1810.0
exchange,mag,3,1810.0
exchange,nf,4,1810.0
excitement,mag,12,1810.0
excitement,nf,4,1810.0
exist,fic,4,1810.0
exist,mag,7,1810.0
exist,nf,22,1810.0
expansion,mag,1,1810.0
expansion,nf,1,1810.0
expose,fic,3,1810.0
expose,mag,1,1810.0
expose,nf,8,1810.0
extend,fic,3,1810.0
extend,mag,2,1810.0
extend,nf,17,1810.0
extreme,fic,3,1810.0
extreme,nf,12,1810.0
eye,fic,31,1810.0
eye,mag,7,1810.0
eye,nf,43,1810.0
fact,fic,9,1810.0
fact,mag,12,1810.0
fact,nf,73,1810.0
failure,fic,1,1810.0
failure,mag,2,1810.0
failure,nf,2,1810.0
faint,fic,5,1810.0
faint,mag,3,1810.0
fair,fic,59,1810.0
fair,mag,4,1810.0
fair,nf,17,1810.0
falling,fic,9,1810.0
falling,mag,2,1810.0
falling,nf,3,1810.0
farm,fic,19,1810.0
fat,fic,1,1810.0
fat,nf,1,1810.0
fear,fic,60,1810.0
fear,mag,4,1810.0
fear,nf,31,1810.0
feature,fic,1,1810.0
feature,nf,3,1810.0
feel,fic,44,1810.0
feel,mag,14,1810.0
feel,nf,30,1810.0
feet,fic,17,1810.0
feet,mag,5,1810.0
feet,nf,24,1810.0
fell,fic,13,1810.0
fell,mag,2,1810.0
fell,nf,13,1810.0
felt,fic,12,1810.0
felt,mag,10,1810.0
felt,nf,28,1810.0
fence,nf,1,1810.0
feverish,fic,3,1810.0
feverish,mag,1,1810.0
feverish,nf,2,1810.0
filthy,nf,1,1810.0
finance,nf,2,1810.0
find,fic,53,1810.0
find,mag,19,1810.0
find,nf,54,1810.0
fine,fic,41,1810.0
fine,mag,24,1810.0
fine,nf,48,1810.0
finish,fic,4,1810.0
finish,mag,2,1810.0
finish,nf,1,1810.0
firm,fic,5,1810.0
firm,nf,8,1810.0
flat,fic,2,1810.0
fleshy,nf,1,1810.0
flit,fic,2,1810.0
fog,fic,1,1810.0
foggy,fic,1,1810.0
food,fic,11,1810.0
food,nf,7,1810.0
foot,fic,21,1810.0
foot,mag,5,1810.0
foot,nf,9,1810.0
forked,fic,1,1810.0
form,fic,18,1810.0
form,mag,13,1810.0
form,nf,108,1810.0
formation,mag,1,1810.0
formation,nf,22,1810.0
fortune,fic,29,1810.0
fortune,mag,4,1810.0
fortune,nf,9,1810.0
fragrant,fic,1,1810.0
fragrant,nf,1,1810.0
fresh,fic,11,1810.0
fresh,mag,4,1810.0
fresh,nf,3,1810.0
friend,fic,91,1810.0
friend,mag,3,1810.0
friend,nf,23,1810.0
frosty,fic,1,1810.0
function,fic,2,1810.0
function,nf,7,1810.0
generate,nf,1,1810.0
gesture,fic,3,1810.0
giant,fic,10,1810.0
giant,nf,1,1810.0
gigantic,fic,1,1810.0
give,fic,103,1810.0
give,mag,28,1810.0
give,nf,98,1810.0
glass,fic,11,1810.0
glass,nf,8,1810.0
gleaming,fic,1,1810.0
glistening,fic,1,1810.0
glowing,fic,4,1810.0
god,fic,43,1810.0
god,mag,3,1810.0
god,nf,327,1810.0
gold,fic,17,1810.0
gold,mag,3,1810.0
gold,nf,16,1810.0
gorgeous,fic,1,1810.0
gorgeous,nf,1,1810.0
govern,fic,1,1810.0
govern,mag,2,1810.0
govern,nf,7,1810.0
grace,fic,18,1810.0
grace,mag,1,1810.0
grace,nf,29,1810.0
grade,nf,1,1810.0
grass,fic,3,1810.0
grassy,fic,3,1810.0
gray,fic,2,1810.0
green,fic,10,1810.0
green,mag,1,1810.0
grotesque,fic,1,1810.0
growling,fic,1,1810.0
guilt,fic,10,1810.0
guilt,mag,2,1810.0
guilt,nf,14,1810.0
gun,fic,4,1810.0
gun,nf,1,1810.0
hail,fic,7,1810.0
hail,nf,3,1810.0
hairy,nf,1,1810.0
hammer,fic,3,1810.0
handsome,fic,14,1810.0
handsome,nf,1,1810.0
happy,fic,46,1810.0
happy,mag,1,1810.0
happy,nf,36,1810.0
hard,fic,69,1810.0
hard,mag,1,1810.0
hard,nf,7,1810.0
harm,fic,3,1810.0
harm,mag,1,1810.0
harmony,fic,3,1810.0
harmony,mag,3,1810.0
harmony,nf,10,1810.0
harsh,fic,2,1810.0
harsh,nf,2,1810.0
hat,fic,6,1810.0
hat,mag,2,1810.0
hate,fic,13,1810.0
hate,nf,5,1810.0
heal,fic,1,1810.0
health,fic,14,1810.0
health,mag,13,1810.0
health,nf,4,1810.0
heaven,fic,91,1810.0
heaven,mag,2,1810.0
heaven,nf,72,1810.0
heavy,fic,5,1810.0
heavy,mag,3,1810.0
heavy,nf,2,1810.0
