Word,Register,n,Year
acid,fic,1,1810.0
aromatic,fic,1,1810.0
audible,nf,1,1810.0
behold,fic,23,1810.0
behold,mag,1,1810.0
behold,nf,20,1810.0
bell,fic,9,1810.0
bell,nf,2,1810.0
bitter,fic,3,1810.0
bitter,mag,3,1810.0
bitter,nf,7,1810.0
bitterness,fic,1,1810.0
bitterness,nf,4,1810.0
black,fic,8,1810.0
black,mag,5,1810.0
black,nf,5,1810.0
blue,fic,5,1810.0
blue,mag,2,1810.0
blue,nf,2,1810.0
bright,fic,12,1810.0
bright,mag,2,1810.0
bright,nf,3,1810.0
brilliant,fic,6,1810.0
brilliant,mag,1,1810.0
brilliant,nf,4,1810.0
brown,fic,3,1810.0
brown,nf,1,1810.0
burning,fic,7,1810.0
burning,mag,3,1810.0
burning,nf,8,1810.0
chatter,fic,1,1810.0
clamor,nf,3,1810.0
clash,fic,3,1810.0
clash,nf,1,1810.0
clear,fic,11,1810.0
clear,mag,4,1810.0
clear,nf,16,1810.0
cold,fic,16,1810.0
cold,mag,5,1810.0
cold,nf,6,1810.0
coldness,fic,2,1810.0
coldness,nf,3,1810.0
color,nf,5,1810.0
colored,fic,1,1810.0
colored,nf,1,1810.0
concert,fic,1,1810.0
concert,mag,1,1810.0
concert,nf,3,1810.0
crack,fic,1,1810.0
crimson,fic,4,1810.0
dark,fic,10,1810.0
dark,mag,6,1810.0
dark,nf,12,1810.0
dazzling,mag,1,1810.0
deaf,fic,7,1810.0
delicious,fic,5,1810.0
dense,fic,1,1810.0
dim,nf,1,1810.0
disgusting,nf,1,1810.0
drone,fic,1,1810.0
drum,fic,5,1810.0
dry,fic,16,1810.0
dry,mag,1,1810.0
dry,nf,2,1810.0
dull,fic,5,1810.0
dull,mag,3,1810.0
dull,nf,1,1810.0
dumb,fic,3,1810.0
dumb,nf,2,1810.0
echo,nf,1,1810.0
espy,fic,2,1810.0
eye,fic,31,1810.0
eye,mag,7,1810.0
eye,nf,43,1810.0
fiddle,fic,1,1810.0
fife,fic,1,1810.0
fragrance,nf,1,1810.0
gape,fic,1,1810.0
gaze,fic,7,1810.0
gaze,mag,1,1810.0
gaze,nf,1,1810.0
gelatinous,mag,1,1810.0
glance,fic,7,1810.0
glance,mag,2,1810.0
glance,nf,4,1810.0
gleam,fic,2,1810.0
gleam,mag,1,1810.0
glimpse,mag,1,1810.0
glimpse,nf,1,1810.0
glitter,fic,4,1810.0
glitter,nf,2,1810.0
golden,fic,5,1810.0
golden,mag,1,1810.0
golden,nf,13,1810.0
gray,fic,2,1810.0
green,fic,10,1810.0
green,mag,1,1810.0
groan,fic,3,1810.0
groan,nf,1,1810.0
grumble,fic,1,1810.0
guitar,mag,1,1810.0
harmonious,fic,2,1810.0
harmonious,nf,2,1810.0
harp,fic,1,1810.0
hear,fic,83,1810.0
hear,mag,7,1810.0
hear,nf,22,1810.0
heat,fic,3,1810.0
heat,mag,1,1810.0
heat,nf,3,1810.0
hoarse,fic,2,1810.0
hot,fic,9,1810.0
hot,mag,1,1810.0
howl,fic,3,1810.0
hum,fic,7,1810.0
hymn,nf,1,1810.0
illuminated,nf,2,1810.0
image,fic,12,1810.0
image,nf,8,1810.0
imperceptible,fic,1,1810.0
imperceptible,nf,1,1810.0
indigo,nf,1,1810.0
insipid,fic,1,1810.0
jingle,fic,1,1810.0
listen,fic,9,1810.0
listen,mag,3,1810.0
listen,nf,9,1810.0
look,fic,79,1810.0
look,mag,17,1810.0
look,nf,24,1810.0
loud,fic,11,1810.0
loud,mag,1,1810.0
loud,nf,4,1810.0
lute,fic,2,1810.0
melody,fic,1,1810.0
moonlight,fic,1,1810.0
murmur,fic,2,1810.0
murmur,nf,1,1810.0
music,fic,15,1810.0
music,mag,3,1810.0
music,nf,5,1810.0
noise,fic,10,1810.0
noise,mag,2,1810.0
noiseless,fic,1,1810.0
noisy,fic,1,1810.0
noisy,nf,1,1810.0
obscurity,fic,1,1810.0
obscurity,mag,2,1810.0
obscurity,nf,2,1810.0
odoriferous,nf,1,1810.0
orange,nf,1,1810.0
organ,mag,2,1810.0
organ,nf,9,1810.0
pale,fic,9,1810.0
pale,nf,1,1810.0
pearly,fic,1,1810.0
peep,fic,1,1810.0
perfume,fic,2,1810.0
perfumed,fic,1,1810.0
picture,fic,15,1810.0
picture,mag,6,1810.0
picture,nf,103,1810.0
piercing,fic,1,1810.0
piercing,nf,1,1810.0
polished,fic,2,1810.0
polished,mag,5,1810.0
polished,nf,5,1810.0
purple,fic,4,1810.0
purple,nf,2,1810.0
red,fic,17,1810.0
red,nf,8,1810.0
reeking,fic,1,1810.0
reflection,fic,3,1810.0
reflection,mag,7,1810.0
reflection,nf,14,1810.0
refreshing,mag,1,1810.0
resound,nf,1,1810.0
rigid,fic,5,1810.0
rigid,nf,4,1810.0
ring,fic,4,1810.0
ringing,fic,2,1810.0
ringing,nf,1,1810.0
roar,fic,4,1810.0
roar,mag,5,1810.0
roar,nf,1,1810.0
roaring,fic,2,1810.0
rough,fic,3,1810.0
rough,mag,2,1810.0
rough,nf,6,1810.0
scent,fic,1,1810.0
scream,fic,1,1810.0
see,fic,177,1810.0
see,mag,18,1810.0
see,nf,71,1810.0
shade,fic,9,1810.0
shade,nf,7,1810.0
shadow,fic,4,1810.0
shadow,mag,1,1810.0
shadow,nf,5,1810.0
shady,fic,1,1810.0
sharp,fic,4,1810.0
sharp,nf,2,1810.0
shine,fic,4,1810.0
shine,nf,7,1810.0
shining,fic,2,1810.0
shining,nf,3,1810.0
shout,fic,2,1810.0
shout,nf,1,1810.0
sight,fic,21,1810.0
sight,mag,2,1810.0
sight,nf,23,1810.0
silence,fic,13,1810.0
silence,nf,9,1810.0
silent,fic,8,1810.0
silent,nf,9,1810.0
sing,fic,7,1810.0
sing,nf,4,1810.0
slippery,fic,1,1810.0
slippery,mag,1,1810.0
smell,fic,1,1810.0
smoky,fic,1,1810.0
smooth,fic,3,1810.0
smooth,mag,2,1810.0
smooth,nf,1,1810.0
soft,fic,12,1810.0
soft,mag,1,1810.0
soft,nf,2,1810.0
solar,mag,1,1810.0
song,fic,16,1810.0
song,mag,1,1810.0
song,nf,6,1810.0
sound,fic,19,1810.0
sound,mag,8,1810.0
sound,nf,19,1810.0
sour,fic,1,1810.0
speak,fic,67,1810.0
speak,mag,5,1810.0
speak,nf,17,1810.0
spicy,nf,1,1810.0
stare,fic,3,1810.0
stare,mag,1,1810.0
stifled,fic,2,1810.0
stinking,mag,1,1810.0
stroke,fic,1,1810.0
stroke,nf,2,1810.0
suffused,nf,1,1810.0
sunny,fic,2,1810.0
sweet,fic,29,1810.0
sweet,mag,2,1810.0
sweet,nf,4,1810.0
sweetness,fic,2,1810.0
sweetness,mag,2,1810.0
sweetness,nf,2,1810.0
symphony,mag,1,1810.0
talk,fic,24,1810.0
talk,mag,2,1810.0
talk,nf,1,1810.0
taste,fic,20,1810.0
taste,mag,34,1810.0
taste,nf,25,1810.0
tasteless,fic,1,1810.0
tender,fic,10,1810.0
tender,mag,2,1810.0
tender,nf,11,1810.0
thunder,fic,9,1810.0
thunder,mag,1,1810.0
thunder,nf,3,1810.0
tickle,fic,2,1810.0
ting,fic,1,1810.0
tinkle,nf,1,1810.0
touch,fic,10,1810.0
touch,mag,1,1810.0
touch,nf,6,1810.0
translucent,fic,1,1810.0
transparent,fic,1,1810.0
transparent,mag,1,1810.0
transparent,nf,2,1810.0
trumpet,fic,6,1810.0
tune,fic,1,1810.0
tune,nf,1,1810.0
twang,fic,1,1810.0
viola,fic,1,1810.0
vivid,fic,1,1810.0
vocal,nf,1,1810.0
voice,fic,33,1810.0
voice,mag,6,1810.0
voice,nf,22,1810.0
warm,fic,13,1810.0
warm,mag,3,1810.0
warm,nf,8,1810.0
warmth,fic,4,1810.0
warmth,mag,1,1810.0
warmth,nf,1,1810.0
watch,fic,12,1810.0
watch,mag,2,1810.0
watch,nf,9,1810.0
wet,fic,5,1810.0
whisper,fic,3,1810.0
whisper,nf,1,1810.0
white,fic,9,1810.0
white,mag,4,1810.0
white,nf,8,1810.0
