Word,COCA
abrasive,14
absorbent,22
aching,38
acidic,16
acrid,25
adhesive,31
alcoholic,150
alive,677
amber,91
angular,42
antiseptic,16
aromatic,29
astringent,5
audible,42
banging,61
barbecued,11
barking,55
beautiful,1096
beeping,15
beery,3
beige,40
bent,331
big,4538
biscuity,0
bitter,227
black,5309
bland,61
blaring,17
bleeping,1
blonde,99
bloody,253
blotchy,8
blue,1619
blunt,83
boiling,114
booming,78
bouncy,8
brackish,14
branching,39
breakable,4
breezy,17
bright,745
brilliant,309
briny,7
bristly,4
brittle,35
broad,886
broken,775
bronze,147
brown,1581
brunette,9
bulky,54
bumpy,32
burning,451
burnt,78
bursting,61
buttery,12
buzzing,45
caramelized,6
charred,21
cheesy,13
checkered,23
chewy,14
chilly,74
chocolatey,0
chubby,16
circular,122
citrusy,1
clammy,8
clamorous,5
clean,1023
clear,2783
cloudy,49
cloying,9
coconutty,0
cold,1608
colossal,31
colorful,190
compact,194
conical,25
contoured,9
cooing,14
cool,816
crackling,25
craggy,13
crashing,61
creaking,24
creamy,56
creased,18
crimson,61
crinkled,11
crisp,150
crooked,67
crowded,278
crunching,22
crying,350
curly,64
curved,98
cute,134
damp,155
dank,10
dappled,15
dark,1823
dazzling,52
dead,1906
deafening,29
deep,1694
delicious,155
dim,137
dirty,350
downy,9
drab,24
dry,863
dull,147
dusty,113
earthy,20
echoing,82
eggy,0
elastic,66
elegant,229
empty,821
enormous,605
faint,186
falling,568
fat,955
fatty,81
feverish,31
filthy,58
fishy,17
flaky,15
flat,630
flavorsome,0
fleshy,28
flickering,42
floppy,56
floral,124
flowery,16
fluffy,48
foamy,4
fetid,15
foggy,29
forked,13
fragrant,79
freezing,109
fresh,1020
frosty,22
fruity,5
fuzzy,79
gamy,2
garlicky,7
gigantic,77
giggling,40
glamorous,42
gleaming,82
glistening,45
glittery,12
globular,14
glossy,70
glowing,126
gold,924
gooey,13
gorgeous,97
grainy,22
grassy,60
greasy,60
green,1889
gray,743
gritty,27
groaning,21
grotesque,54
growling,15
grubby,10
gurgling,10
hairy,47
handsome,215
happy,1169
hard,3471
harsh,187
hazy,40
heavy,1157
herby,0
high,7519
hissing,28
hoarse,19
hollow,124
honeyed,3
hot,1442
howling,35
huge,1162
humid,61
hushed,27
husky,26
icy,107
immense,170
insipid,8
itchy,24
jagged,49
jammy,0
jingling,12
juicy,53
khaki,24
large,4789
laughing,379
leathery,25
lemony,10
light,3533
lilting,11
lithe,15
little,8142
long,7601
loose,447
loud,469
low,2894
lukewarm,19
lumpy,22
lush,95
malty,0
meaty,14
medicinal,52
mellow,33
melodious,10
melted,93
meowing,0
metal,575
mild,268
miniature,165
minty,3
misty,29
moaning,42
moist,134
motionless,64
mottled,25
moldy,14
muddy,101
muffled,57
muggy,14
mumbling,21
murky,51
murmuring,17
mushroomy,0
mushy,14
musky,4
musty,20
mute,59
muttering,31
narrow,646
noisy,105
noxious,28
nutty,7
odorous,1
oily,56
oniony,0
open,3836
orange,488
orangey,1
oval,107
painful,325
palatable,22
pale,381
patterned,38
peachy,4
peppery,6
perfumed,14
petite,30
pink,472
plain,425
plastic,760
polished,141
popping,63
portly,10
prickly,37
puffy,41
pulsing,23
pungent,29
puny,19
purple,297
purring,8
putrid,6
quiet,742
radiant,35
rancid,12
raspy,11
raucous,26
rectangular,76
red,2347
reddish,42
reeking,5
resounding,23
reverberating,9
rhythmic,82
ripe,149
rippled,25
rippling,24
roasted,73
roasting,27
rotten,58
rotund,8
rough,387
round,861
rubbery,11
rumbling,26
rustling,31
rusty,69
salty,41
savory,30
scaly,19
scented,32
scentless,0
scratchy,24
scrawny,21
screaming,262
screeching,37
searing,28
shadowy,51
shaggy,32
shallow,244
sharp,638
sheer,193
shimmering,56
shiny,190
short,2146
shrieking,21
shrill,42
silent,565
silky,31
silver,570
skinny,114
slick,104
slimy,22
slippery,67
slushy,4
small,5821
smelly,17
smoky,48
smooth,528
snarling,9
snorting,10
soapy,25
sodden,17
soft,863
soggy,26
solid,602
sonorous,6
sore,104
soundless,3
sour,112
sparkly,12
speckled,15
spicy,51
spiky,21
spilling,61
spotless,7
spotted,216
square,919
squeaking,12
squealing,20
stagnant,28
stale,43
steep,181
stenchy,0
sticky,83
stinging,37
stinky,9
stormy,35
straight,940
strange,724
striped,65
strong,2558
sturdy,113
sunny,275
sweaty,72
sweet,682
swift,104
swinging,97
tall,732
tangerine,9
tangy,11
tapering,16
tarry,3
tart,50
tasteless,14
tasty,62
tender,206
tepid,21
thorny,38
thudding,10
thumping,21
thunderous,16
ticklish,3
tight,527
tingly,4
tinkling,7
tiny,934
tough,693
translucent,64
transparent,171
triangular,39
ugly,231
uneven,96
unpalatable,12
unripe,3
vegetal,2
vinegary,2
vivid,161
wailing,26
warbling,2
warm,824
waxy,17
weak,549
weightless,28
wet,497
whiffy,0
whimpering,19
whining,34
whispering,97
whistling,37
white,5731
wide,1435
wiry,34
wispy,22
wizened,8
woolly,26
yellow,775
abut,0
accept,0
accomplish,233
adjoin,0
admit,0
afford,491
alienate,29
alter,239
annihilate,7
annoy,22
appear,0
appreciate,0
approach,2713
arrange,169
arrive,369
ascend,31
