Word,DominantModality,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity,RandomSet,N
abut,Haptic,2.25,3.25,0.5,0.25,0.25,0.461538462,no,4
accept,Haptic,1,1.142857143,1,0,0.428571429,0.32,no,7
accomplish,Haptic,2.4,2.8,2.2,1,0.8,0.217391304,yes,5
adjoin,Haptic,2.333333333,3,0.166666667,0.166666667,0.166666667,0.485714286,no,6
admit,Auditory,1.666666667,0.166666667,2.833333333,0,0,0.607142857,no,6
afford,Visual,1.833333333,1.5,1,0.333333333,0,0.392857143,yes,6
alienate,Visual,1.166666667,0.166666667,1.166666667,0,0,0.466666667,yes,6
alter,Haptic,2.166666667,3.833333333,0,0,0,0.638888889,yes,6
annihilate,Haptic,2.5,2.833333333,0.833333333,0,0,0.459459459,yes,6
annoy,Auditory,2,0.666666667,2.666666667,0.166666667,0.666666667,0.405405405,yes,6
appear,Visual,4.2,1.2,1,0,0,0.65625,no,5
appreciate,Visual,3.6,2.2,2.6,2.2,2.1,0.118110236,no,10
approach,Visual,3.428571429,1.428571429,1.285714286,0,0.285714286,0.533333333,yes,7
arrange,Haptic,3.166666667,4,1.166666667,0.166666667,0.166666667,0.442307692,yes,6
arrive,Visual,2.777777778,1,1.555555556,0,0.555555556,0.471698113,yes,9
ascend,Haptic,1.444444444,2.111111111,0.222222222,0,0,0.558823529,yes,9
assess,Visual,3,2.111111111,1.888888889,0.777777778,0.777777778,0.25974026,yes,9
astonish,Visual,3.272727273,1,2.090909091,0.909090909,0.636363636,0.333333333,yes,11
attend,Visual,2.714285714,1.428571429,2.428571429,0,0.142857143,0.404255319,no,7
await,Visual,1.5,0.3,0.7,0.1,0.2,0.5,yes,10
babble,Auditory,1.8,0.8,3.2,0.8,0.6,0.361111111,no,5
bang,Auditory,2.555555556,3.555555556,4.777777778,0.555555556,0.555555556,0.351851852,no,9
bark,Auditory,0.428571429,0.571428571,3.714285714,0,0,0.787878788,no,7
bear,Haptic,2.142857143,3,1.714285714,2,1.571428571,0.136986301,no,7
behold,Visual,3.571428571,1.285714286,0.142857143,0,0,0.714285714,no,7
belittle,Visual,2.333333333,0.5,1.5,0,0,0.538461538,yes,6
beseech,Auditory,2,0.6,2.4,0.4,0.8,0.322580645,yes,5
bite,Haptic,0.833333333,2.833333333,0,2.666666667,0.333333333,0.425,no,6
